outlet;category;total_N;total_pct;1995_N;1995_pct;1996_N;1996_pct;1997_N;1997_pct;1998_N;1998_pct;1999_N;1999_pct;2000_N;2000_pct;2001_N;2001_pct;2002_N;2002_pct;2003_N;2003_pct;2004_N;2004_pct;2005_N;2005_pct;2006_N;2006_pct;2007_N;2007_pct;2008_N;2008_pct;2009_N;2009_pct;2010_N;2010_pct;2011_N;2011_pct;2012_N;2012_pct;2013_N;2013_pct;2014_N;2014_pct;2015_N;2015_pct;2016_N;2016_pct;2017_N;2017_pct;2018_N;2018_pct;2019_N;2019_pct;2020_N;2020_pct;2021_N;2021_pct;2022_N;2022_pct;2023_N;2023_pct;2024_N;2024_pct;2025_N;2025_pct
bild;age_and_family_status;421456;1.546;;;;;;;;;;;;;;;;;;;;;;;6429.0;1.6689;9645.0;1.6392;20941.0;1.5694;28230.0;1.7096;31928.0;1.7159;26344.0;1.5351;24263.0;1.4966;24798.0;1.4892;23850.0;1.4358;27847;1.6259;28152.0;1.3632;25282;1.2444;23207;1.4548;24714;1.5639;27413;1.923;25490.0;1.7656;18808.0;1.3126;22429.0;1.5673;898.0;4.3288;788.0;1.9918
bild;identities;258909;0.9497;;;;;;;;;;;;;;;;;;;;;;;2476.0;0.6427;3419.0;0.5811;7544.0;0.5654;11731.0;0.7104;14401.0;0.774;12606.0;0.7346;12048.0;0.7432;13854.0;0.832;13008.0;0.7831;26811;1.5654;31726.0;1.5363;19849;0.977;17604;1.1036;15188;0.9611;14817;1.0394;14248.0;0.9869;12179.0;0.85;14667.0;1.0249;337.0;1.6245;396.0;1.0009
bild;labor_market_position;586822;2.1526;;;;;;;;;;;;;;;;;;;;;;;7147.0;1.8553;11415.0;1.9401;25115.0;1.8823;43658.0;2.644;48252.0;2.5932;42173.0;2.4575;37306.0;2.3012;37635.0;2.2601;30821.0;1.8555;32274;1.8844;52058.0;2.5208;44938;2.2119;29165;1.8283;31820;2.0136;31461;2.207;28423.0;1.9688;25183.0;1.7575;27151.0;1.8973;262.0;1.263;565.0;1.4281
bild;profession;1804042;6.6175;;;;;;;;;;;;;;;;;;;;;;;20553.0;5.3354;30510.0;5.1854;81652.0;6.1195;106721.0;6.4631;118426.0;6.3646;110861.0;6.46;108291.0;6.6798;110953.0;6.6632;88536.0;5.3299;92779;5.4172;143333.0;6.9406;148426;7.3056;108813;6.8212;115229;7.2917;104189;7.309;108087.0;7.487;97356.0;6.7946;108164.0;7.5585;534.0;2.5741;629.0;1.5899
bild;real_estate_ownership;52987;0.1944;;;;;;;;;;;;;;;;;;;;;;;570.0;0.148;836.0;0.1421;1957.0;0.1467;2591.0;0.1569;4066.0;0.2185;3402.0;0.1982;3097.0;0.191;3478.0;0.2089;3077.0;0.1852;3269;0.1909;3684.0;0.1784;3824;0.1882;3957;0.2481;4453;0.2818;2222;0.1559;2314.0;0.1603;2758.0;0.1925;3309.0;0.2312;43.0;0.2073;80.0;0.2022
bild;social_deviance;210585;0.7725;;;;;;;;;;;;;;;;;;;;;;;2026.0;0.5259;2526.0;0.4293;6673.0;0.5001;10954.0;0.6634;13845.0;0.7441;15035.0;0.8761;14525.0;0.896;12932.0;0.7766;12507.0;0.7529;14453;0.8439;17310.0;0.8382;16212;0.798;12631;0.7918;13172;0.8335;11502;0.8069;10301.0;0.7135;10237.0;0.7144;13606.0;0.9508;90.0;0.4338;48.0;0.1213
bild;social_roles_and_behavior;303814;1.1144;;;;;;;;;;;;;;;;;;;;;;;5618.0;1.4584;8547.0;1.4526;17256.0;1.2933;20458.0;1.2389;21188.0;1.1387;20094.0;1.1709;18445.0;1.1378;18506.0;1.1114;19791.0;1.1914;20608;1.2033;21390.0;1.0358;19772;0.9732;17129;1.0738;17203;1.0886;14651;1.0278;13254.0;0.9181;13508.0;0.9427;15322.0;1.0707;653.0;3.1477;421.0;1.0641
bild;socio_economic_position;325088;1.1925;;;;;;;;;;;;;;;;;;;;;;;3560.0;0.9241;5731.0;0.974;14443.0;1.0824;20869.0;1.2638;24397.0;1.3112;21492.0;1.2524;19639.0;1.2114;19964.0;1.1989;18452.0;1.1108;19081;1.1141;30615.0;1.4825;26206;1.2899;17805;1.1162;19737;1.249;17229;1.2086;15141.0;1.0488;14610.0;1.0196;15489.0;1.0824;185.0;0.8918;443.0;1.1197
faz;age_and_family_status;25987;1.2052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4526;1.2253;;;3950;1.0993;2693;1.1462;4433;1.233;6234;1.3792;4150.0;1.0891;;;;;;;;
faz;identities;33731;1.5643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7722;2.0905;;;4872;1.3559;3544;1.5084;4338;1.2066;5895;1.3042;7359.0;1.9313;;;;;;;;
