outlet;label;total_N;total_pct;1995_N;1995_pct;1996_N;1996_pct;1997_N;1997_pct;1998_N;1998_pct;1999_N;1999_pct;2000_N;2000_pct;2001_N;2001_pct;2002_N;2002_pct;2003_N;2003_pct;2004_N;2004_pct;2005_N;2005_pct;2006_N;2006_pct;2007_N;2007_pct;2008_N;2008_pct;2009_N;2009_pct;2010_N;2010_pct;2011_N;2011_pct;2012_N;2012_pct;2013_N;2013_pct;2014_N;2014_pct;2015_N;2015_pct;2016_N;2016_pct;2017_N;2017_pct;2018_N;2018_pct;2019_N;2019_pct;2020_N;2020_pct;2021_N;2021_pct;2022_N;2022_pct;2023_N;2023_pct;2024_N;2024_pct;2025_N;2025_pct
bild;athletes;584749;2.1449;;;;;;;;;;;;;;;;;;;;;;;8229.0;2.1362;13503.0;2.2949;34717.0;2.6019;29820.0;1.8059;29528.0;1.5869;28097.0;1.6373;27963.0;1.7249;29512.0;1.7723;30920.0;1.8614;30330.0;1.7709;39152.0;1.8959;45153;2.2225;39476.0;2.4747;40827;2.5835;41690;2.9246;37616.0;2.6056;37858.0;2.6421;40146.0;2.8054;124.0;0.5977;88.0;0.2224
bild;authors_and_artists;54312;0.1992;;;;;;;;;;;;;;;;;;;;;;;634.0;0.1646;977.0;0.166;3206.0;0.2403;3717.0;0.2251;4205.0;0.226;3865.0;0.2252;3914.0;0.2414;3856.0;0.2316;3292.0;0.1982;3413.0;0.1993;4476.0;0.2167;3614;0.1779;2828.0;0.1773;2974;0.1882;2495;0.175;2197.0;0.1522;2192.0;0.153;2307.0;0.1612;62.0;0.2989;88.0;0.2224
bild;capital_owners_investors_and_shareholders;34481;0.1265;;;;;;;;;;;;;;;;;;;;;;;304.0;0.0789;437.0;0.0743;1402.0;0.1051;2408.0;0.1458;2358.0;0.1267;2297.0;0.1338;1978.0;0.122;1872.0;0.1124;1615.0;0.0972;1909.0;0.1115;5670.0;0.2746;4178;0.2056;1522.0;0.0954;1504;0.0952;1412;0.0991;1269.0;0.0879;1202.0;0.0839;1125.0;0.0786;5.0;0.0241;14.0;0.0354
bild;car_drivers;31567;0.1158;;;;;;;;;;;;;;;;;;;;;;;314.0;0.0815;527.0;0.0896;1099.0;0.0824;1472.0;0.0891;2380.0;0.1279;2067.0;0.1204;2049.0;0.1264;1948.0;0.117;1804.0;0.1086;1663.0;0.0971;2237.0;0.1083;2442;0.1202;2350.0;0.1473;2807;0.1776;1314;0.0922;1413.0;0.0979;1719.0;0.12;1896.0;0.1325;16.0;0.0771;50.0;0.1264
bild;ceos_and_corporate_leaders;25046;0.0919;;;;;;;;;;;;;;;;;;;;;;;306.0;0.0794;631.0;0.1072;1548.0;0.116;2141.0;0.1297;1674.0;0.09;1525.0;0.0889;1431.0;0.0883;1700.0;0.1021;1308.0;0.0787;1359.0;0.0793;2243.0;0.1086;2429;0.1196;1239.0;0.0777;1241;0.0785;1186;0.0832;1000.0;0.0693;1051.0;0.0734;1031.0;0.072;1.0;0.0048;2.0;0.0051
bild;children;247770;0.9089;;;;;;;;;;;;;;;;;;;;;;;3962.0;1.0285;5781.0;0.9825;12675.0;0.9499;16854.0;1.0207;19123.0;1.0277;15217.0;0.8867;14011.0;0.8642;14367.0;0.8628;13696.0;0.8245;15966.0;0.9322;15831.0;0.7666;14096;0.6938;13687.0;0.858;14822;0.9379;16687;1.1706;16054.0;1.112;11154.0;0.7784;12640.0;0.8833;579.0;2.791;568.0;1.4357
bild;christians;20887;0.0766;;;;;;;;;;;;;;;;;;;;;;;281.0;0.0729;314.0;0.0534;730.0;0.0547;1454.0;0.0881;2204.0;0.1185;1827.0;0.1065;1680.0;0.1036;1934.0;0.1161;1037.0;0.0624;1168.0;0.0682;1588.0;0.0769;1369;0.0674;968.0;0.0607;1134;0.0718;749;0.0525;814.0;0.0564;785.0;0.0548;676.0;0.0472;28.0;0.135;147.0;0.3716
bild;cisgender_and_heterosexuals;2350;0.0086;;;;;;;;;;;;;;;;;;;;;;;26.0;0.0067;43.0;0.0073;138.0;0.0103;146.0;0.0088;134.0;0.0072;100.0;0.0058;93.0;0.0057;127.0;0.0076;113.0;0.0068;156.0;0.0091;118.0;0.0057;193;0.0095;154.0;0.0097;171;0.0108;166;0.0116;193.0;0.0134;148.0;0.0103;122.0;0.0085;4.0;0.0193;5.0;0.0126
bild;civil_servants;20424;0.075;;;;;;;;;;;;;;;;;;;;;;;247.0;0.0641;258.0;0.0438;720.0;0.054;1111.0;0.0673;1420.0;0.0763;1340.0;0.0781;1255.0;0.0774;1364.0;0.0819;1204.0;0.0725;1224.0;0.0715;1667.0;0.0807;1700;0.0837;1164.0;0.073;1218;0.0771;1045;0.0733;1026.0;0.0711;997.0;0.0696;1463.0;0.1022;1.0;0.0048;;
bild;consumers_and_clients;249784;0.9162;;;;;;;;;;;;;;;;;;;;;;;2590.0;0.6723;4358.0;0.7407;10005.0;0.7498;15876.0;0.9615;19300.0;1.0372;17097.0;0.9963;15229.0;0.9394;15755.0;0.9462;14620.0;0.8801;14731.0;0.8601;21996.0;1.0651;19463;0.958;14191.0;0.8896;15307;0.9686;13719;0.9624;11338.0;0.7854;11387.0;0.7947;12259.0;0.8567;158.0;0.7616;405.0;1.0237
