Outlet,Country,α MASI,α binary,# Sentences,# Annotators,Annotators
Bild,Germany,0.81233,0.752474,930,5,"Celine, Elisa, Selma_DE, Stella, Theres"
FAZ,Germany,0.839964,0.78823,950,5,"Celine, Elisa, Selma_DE, Stella, Theres"
Figaro,France,0.950079,0.947296,866,3,"Isabelle, Mathieu, Selma_FR"
Liberation,France,0.737233,,226,1,Mathieu
Mediapart,France,0.693415,-0.012535,364,1,Mathieu
Monde,France,0.93691,0.988776,853,3,"Isabelle, Mathieu, Selma_FR"
MondeDiplo,France,0.675114,-0.020492,374,1,Mathieu
Parisien,France,0.942792,0.954891,879,3,"Isabelle, Mathieu, Selma_FR"
SZ,Germany,0.819981,0.730745,922,5,"Celine, Elisa, Selma_DE, Stella, Theres"
Spiegel,Germany,0.825932,0.820591,906,5,"Celine, Elisa, Selma_DE, Stella, Theres"
Welt,Germany,0.835149,0.778804,914,5,"Celine, Elisa, Selma_DE, Stella, Theres"
Zeit,Germany,0.808322,0.721109,936,5,"Celine, Elisa, Selma_DE, Stella, Theres"
