model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
age_family,0,couples,0.98816568,1,0.75,0.857142857,0.98816568,0.98816568,0.98816568,0.925485009,0.851101322,0.047337278,1,1,169,8
age_family,0,elderly,0.99408284,1,0.857142857,0.923076923,0.99408284,0.99408284,0.99408284,0.96,0.92001893,0.041420118,0.995590829,0.94047619,169,7
age_family,0,middle-aged and pre-retirement age groups,0.982248521,1,0.25,0.4,0.982248521,0.982248521,0.982248521,0.695495495,0.394265233,0.023668639,0.990909091,0.85,169,4
age_family,0,minors,0.905325444,0.965517241,0.8,0.875,0.905325444,0.905325444,0.905325444,0.899404762,0.799881587,0.414201183,0.982683983,0.979901591,169,70
age_family,0,parents and families,0.958579882,1,0.815789474,0.898550725,0.958579882,0.958579882,0.958579882,0.93626421,0.872864052,0.224852071,0.98915227,0.974518273,169,38
age_family,0,singles,0.99408284,0.857142857,1,0.923076923,0.99408284,0.99408284,0.99408284,0.96,0.92001893,0.035502959,1,1,169,6
age_family,0,youth,0.911242604,0.943396226,0.806451613,0.869565217,0.911242604,0.911242604,0.911242604,0.901150322,0.802923113,0.366863905,0.971208924,0.958572462,169,62
age_family,1,couples,1,1,1,1,1,1,1,1,1,0.041176471,1,1,170,7
age_family,1,elderly,0.970588235,1,0.285714286,0.444444444,0.970588235,0.970588235,0.970588235,0.714669352,0.434087883,0.041176471,0.755477651,0.727079704,170,7
age_family,1,middle-aged and pre-retirement age groups,0.982352941,0.666666667,0.5,0.571428571,0.982352941,0.982352941,0.982352941,0.781209781,0.562607204,0.023529412,0.989457831,0.715277778,170,4
age_family,1,minors,0.882352941,0.890625,0.814285714,0.850746269,0.882352941,0.882352941,0.882352941,0.876829445,0.75397974,0.411764706,0.905285714,0.916582992,170,70
age_family,1,parents and families,0.964705882,1,0.842105263,0.914285714,0.964705882,0.964705882,0.964705882,0.946031746,0.892268695,0.223529412,0.964314195,0.957555709,170,38
age_family,1,singles,0.994117647,0.857142857,1,0.923076923,0.994117647,0.994117647,0.994117647,0.96000941,0.920037629,0.035294118,1,1,170,6
age_family,1,youth,0.911764706,0.850746269,0.919354839,0.88372093,0.911764706,0.911764706,0.911764706,0.906315441,0.812802819,0.364705882,0.951164875,0.934635984,170,62
age_family,2,couples,0.975757576,0.8,0.571428571,0.666666667,0.975757576,0.975757576,0.975757576,0.827044025,0.654450262,0.042424242,0.944846293,0.614330469,165,7
age_family,2,elderly,0.96969697,0.75,0.428571429,0.545454545,0.96969697,0.96969697,0.96969697,0.764890282,0.530983513,0.042424242,0.962025316,0.756060606,165,7
age_family,2,middle-aged and pre-retirement age groups,0.981818182,0.666666667,0.5,0.571428571,0.981818182,0.981818182,0.981818182,0.781070323,0.562334218,0.024242424,0.866459627,0.615530303,165,4
age_family,2,minors,0.915151515,0.9375,0.857142857,0.895522388,0.915151515,0.915151515,0.915151515,0.912046908,0.824334601,0.424242424,0.969323308,0.957317006,165,70
age_family,2,parents and families,0.945454545,0.891891892,0.868421053,0.88,0.945454545,0.945454545,0.945454545,0.922352941,0.844714002,0.23030303,0.959593867,0.923726348,165,38
age_family,2,singles,0.993939394,1,0.8,0.888888889,0.993939394,0.993939394,0.993939394,0.942886812,0.885813149,0.03030303,0.97125,0.835714286,165,5
age_family,2,youth,0.945454545,0.949152542,0.903225806,0.925619835,0.945454545,0.945454545,0.945454545,0.941278817,0.882599415,0.375757576,0.962261196,0.95901742,165,62
age_family,3,couples,0.975609756,0.8,0.571428571,0.666666667,0.975609756,0.975609756,0.975609756,0.827004219,0.654373024,0.042682927,0.991355778,0.708390023,164,7
age_family,3,elderly,0.975609756,0.8,0.571428571,0.666666667,0.975609756,0.975609756,0.975609756,0.827004219,0.654373024,0.042682927,0.923566879,0.59822244,164,7
age_family,3,middle-aged and pre-retirement age groups,0.975609756,0,0,0,0.975609756,0.975609756,0.975609756,0.49382716,0,0.024390244,0.9796875,0.573051948,164,4
age_family,3,minors,0.890243902,0.90625,0.828571429,0.865671642,0.890243902,0.890243902,0.890243902,0.886444068,0.773202213,0.426829268,0.956231003,0.937888675,164,70
age_family,3,parents and families,0.945121951,0.914285714,0.842105263,0.876712329,0.945121951,0.945121951,0.945121951,0.920709106,0.841494845,0.231707317,0.974728488,0.933740381,164,38
age_family,3,singles,1,1,1,1,1,1,1,1,1,0.030487805,1,1,164,5
age_family,3,youth,0.93902439,0.964285714,0.870967742,0.915254237,0.93902439,0.93902439,0.93902439,0.933817595,0.867827208,0.37804878,0.962839975,0.963403588,164,62
age_family,4,couples,0.993975904,0.875,1,0.933333333,0.993975904,0.993975904,0.993975904,0.96508938,0.93019344,0.042168675,0.999101527,0.982142857,166,7
age_family,4,elderly,0.969879518,0.666666667,0.571428571,0.615384615,0.969879518,0.969879518,0.969879518,0.799855317,0.599807136,0.042168675,0.992812219,0.868707483,166,7
age_family,4,middle-aged and pre-retirement age groups,0.981927711,0,0,0,0.981927711,0.981927711,0.981927711,0.495440729,0,0.018072289,0.916155419,0.213756614,166,3
age_family,4,minors,0.891566265,0.82278481,0.942028986,0.878378378,0.891566265,0.891566265,0.891566265,0.890276146,0.781355188,0.415662651,0.935156133,0.899567321,166,69
age_family,4,parents and families,0.93373494,0.864864865,0.842105263,0.853333333,0.93373494,0.93373494,0.93373494,0.905265888,0.810541606,0.228915663,0.947779605,0.887844757,166,38
age_family,4,singles,0.987951807,0.8,0.8,0.8,0.987951807,0.987951807,0.987951807,0.89689441,0.79378882,0.030120482,0.982608696,0.705833333,166,5
age_family,4,youth,0.903614458,0.848484848,0.903225806,0.875,0.903614458,0.903614458,0.903614458,0.898284314,0.796693203,0.373493976,0.931916873,0.863743787,166,62
