model,hypothesis_label,folds_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_binary_mean,precision_binary_std,precision_binary_min,precision_binary_max,recall_binary_mean,recall_binary_std,recall_binary_min,recall_binary_max,f1_binary_mean,f1_binary_std,f1_binary_min,f1_binary_max,precision_micro_mean,precision_micro_std,precision_micro_min,precision_micro_max,recall_micro_mean,recall_micro_std,recall_micro_min,recall_micro_max,f1_micro_mean,f1_micro_std,f1_micro_min,f1_micro_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_min,cohen_kappa_max,prevalence_mean,prevalence_std,prevalence_min,prevalence_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max
socio_economic,"capital owners, investors and shareholders",5,0.913834499,0.04740001,0.861538462,0.96969697,1,0,1,1,0.83083779,0.092987667,0.727272727,0.939393939,0.905354077,0.055392247,0.842105263,0.96875,0.913834499,0.04740001,0.861538462,0.96969697,0.913834499,0.04740001,0.861538462,0.96969697,0.913834499,0.04740001,0.861538462,0.96969697,0.913029805,0.048226167,0.859408796,0.969669118,0.828269673,0.094188785,0.724186704,0.939393939,0.509675481,0.01157908,0.5,0.523076923,0.963381769,0.024732782,0.924701561,0.986742424,0.975076256,0.014684835,0.951043978,0.989333705
socio_economic,lower class,5,0.91094697,0.017268121,0.892307692,0.939393939,0.971428571,0.063887656,0.857142857,1,0.510606061,0.085307202,0.416666667,0.636363636,0.664869281,0.071093455,0.588235294,0.777777778,0.91094697,0.017268121,0.892307692,0.939393939,0.91094697,0.017268121,0.892307692,0.939393939,0.91094697,0.017268121,0.892307692,0.939393939,0.806750317,0.040303482,0.763144196,0.871345029,0.619893195,0.077162476,0.538071066,0.744680851,0.176362179,0.011257181,0.166666667,0.1875,0.934151072,0.022986995,0.895867769,0.952830189,0.82844439,0.02417361,0.807337757,0.870125661
socio_economic,middle class,5,0.981678322,0.0199975,0.953846154,1,1,0,1,1,0.76,0.260768096,0.4,1,0.842063492,0.182893033,0.571428571,1,0.981678322,0.0199975,0.953846154,1,0.981678322,0.0199975,0.953846154,1,0.981678322,0.0199975,0.953846154,1,0.91616681,0.096713923,0.773519164,1,0.833506065,0.191572333,0.551724138,1,0.076640807,0.001131769,0.075757576,0.078125,0.947857923,0.052066158,0.895081967,1,0.848,0.151967967,0.69,1
socio_economic,skilled or qualified,5,0.944845571,0.017391518,0.923076923,0.96875,0.926666667,0.101105006,0.8,1,0.560714286,0.157507693,0.375,0.714285714,0.682937063,0.118438134,0.545454545,0.833333333,0.944845571,0.017391518,0.923076923,0.96875,0.944845571,0.017391518,0.923076923,0.96875,0.944845571,0.017391518,0.923076923,0.96875,0.826353185,0.063747989,0.751718869,0.908045977,0.656033387,0.124006014,0.512743628,0.816618911,0.111143284,0.008107729,0.106060606,0.123076923,0.960796607,0.048467732,0.875,0.989974937,0.879216839,0.058755436,0.802813853,0.948051948
socio_economic,unskilled or unqualified,5,0.96951049,0.018558497,0.954545455,1,0.91,0.124498996,0.75,1,0.68,0.228035085,0.4,1,0.757619048,0.160889675,0.571428571,1,0.96951049,0.018558497,0.954545455,1,0.96951049,0.018558497,0.954545455,1,0.96951049,0.018558497,0.954545455,1,0.870664488,0.085199573,0.773714286,1,0.742532538,0.169034874,0.552036199,1,0.076640807,0.001131769,0.075757576,0.078125,0.922393443,0.11455377,0.721311475,1,0.799606197,0.185933197,0.508391734,1
socio_economic,upper class,5,0.957296037,0.027211095,0.938461538,1,1,0,1,1,0.542857143,0.304166084,0.333333333,1,0.666666667,0.23570226,0.5,1,0.957296037,0.027211095,0.938461538,1,0.957296037,0.027211095,0.938461538,1,0.957296037,0.027211095,0.938461538,1,0.821908117,0.124959881,0.733606557,1,0.649017762,0.245516878,0.475806452,1,0.095815122,0.008030578,0.090909091,0.107692308,0.874711577,0.128560715,0.709039548,1,0.767318939,0.199506789,0.591265374,1
social_roles,car drivers,5,0.979834358,0.012543493,0.959183673,0.98989899,0.8,0.447213595,0,1,0.52,0.309434969,0,0.75,0.626190476,0.359082037,0,0.857142857,0.979834358,0.012543493,0.959183673,0.98989899,0.979834358,0.012543493,0.959183673,0.98989899,0.979834358,0.012543493,0.959183673,0.98989899,0.80790271,0.18265515,0.489583333,0.925953628,0.620386667,0.356362086,0,0.852017937,0.042209611,0.003811088,0.04040404,0.049019608,0.924526039,0.102359853,0.784210526,1,0.822052469,0.192780258,0.606095679,1
social_roles,consumers and clients,5,0.865331587,0.033983709,0.818181818,0.898989899,0.996078431,0.008768894,0.980392157,1,0.803643547,0.046030205,0.746268657,0.850746269,0.889106739,0.030695264,0.847457627,0.919354839,0.865331587,0.033983709,0.818181818,0.898989899,0.865331587,0.033983709,0.818181818,0.898989899,0.865331587,0.033983709,0.818181818,0.898989899,0.85862996,0.033659889,0.811228814,0.892109852,0.722755309,0.06411287,0.632425743,0.786545925,0.676128633,0.006076152,0.666666667,0.683673469,0.964438995,0.023445604,0.931436567,0.984608209,0.984387699,0.012344908,0.963989213,0.993439425
social_roles,patients,5,0.957689743,0.018268885,0.93877551,0.97979798,0.988888889,0.0248452,0.944444444,1,0.791578947,0.105368368,0.684210526,0.894736842,0.87545045,0.060736704,0.8125,0.944444444,0.957689743,0.018268885,0.93877551,0.97979798,0.957689743,0.018268885,0.93877551,0.97979798,0.957689743,0.018268885,0.93877551,0.97979798,0.924973356,0.035714462,0.887957317,0.966049383,0.850636998,0.070680952,0.777441332,0.932145305,0.193142712,0.001847257,0.191919192,0.196078431,0.973602558,0.018406538,0.949367089,0.995394737,0.959941433,0.016240509,0.943051791,0.984598338
social_roles,volunteers,5,0.949745959,0.028441219,0.918367347,0.97979798,0.741414141,0.421624922,0,1,0.488888889,0.434613494,0,1,0.530505051,0.379202063,0,0.9,0.949745959,0.028441219,0.918367347,0.97979798,0.949745959,0.028441219,0.918367347,0.97979798,0.949745959,0.028441219,0.918367347,0.97979798,0.75190975,0.196689367,0.478723404,0.944382022,0.517079716,0.376779818,0,0.888888889,0.088519044,0.004019946,0.081632653,0.090909091,0.951337117,0.062743278,0.851388889,0.997530864,0.860666931,0.146307874,0.60936086,0.97979798
