model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
business_activity,0,entrepreneurs (SMEs),0.915789474,0.833333333,0.416666667,0.555555556,0.915789474,0.915789474,0.915789474,0.754521964,0.514687101,0.126315789,0.888554217,0.717068206,95,12
business_activity,0,entrepreneurs (large enterprises),0.789473684,0.928571429,0.40625,0.565217391,0.789473684,0.789473684,0.789473684,0.713164251,0.453080023,0.336842105,0.848214286,0.819619536,95,32
business_activity,0,entrepreneurs in [specific] sector,0.610526316,0.918918919,0.5,0.647619048,0.610526316,0.610526316,0.610526316,0.606162465,0.288893385,0.715789474,0.735294118,0.898498276,95,68
business_activity,1,entrepreneurs (SMEs),0.884210526,0.545454545,0.5,0.52173913,0.884210526,0.884210526,0.884210526,0.727935433,0.456012493,0.126315789,0.84437751,0.688976424,95,12
business_activity,1,entrepreneurs (large enterprises),0.863157895,1,0.59375,0.745098039,0.863157895,0.863157895,0.863157895,0.82578643,0.659685864,0.336842105,0.889880952,0.884260343,95,32
business_activity,1,entrepreneurs in [specific] sector,0.694736842,1,0.573529412,0.728971963,0.694736842,0.694736842,0.694736842,0.689787186,0.433244188,0.715789474,0.738017429,0.908184333,95,68
business_activity,2,entrepreneurs (SMEs),0.925531915,0.857142857,0.5,0.631578947,0.925531915,0.925531915,0.925531915,0.795079415,0.593325093,0.127659574,0.978658537,0.884891729,94,12
business_activity,2,entrepreneurs (large enterprises),0.936170213,1,0.8125,0.896551724,0.936170213,0.936170213,0.936170213,0.925198939,0.851108765,0.340425532,0.920362903,0.927467629,94,32
business_activity,2,entrepreneurs in [specific] sector,0.680851064,0.931818182,0.602941176,0.732142857,0.680851064,0.680851064,0.680851064,0.668703008,0.379401408,0.723404255,0.738122172,0.891153454,94,68
business_activity,3,entrepreneurs (SMEs),0.905263158,0.714285714,0.416666667,0.526315789,0.905263158,0.905263158,0.905263158,0.736842105,0.477703115,0.126315789,0.797188755,0.629101465,95,12
business_activity,3,entrepreneurs (large enterprises),0.873684211,1,0.625,0.769230769,0.873684211,0.873684211,0.873684211,0.841137124,0.68852459,0.336842105,0.879960317,0.873491849,95,32
business_activity,3,entrepreneurs in [specific] sector,0.694736842,0.953488372,0.602941176,0.738738739,0.694736842,0.694736842,0.694736842,0.685825066,0.413455397,0.715789474,0.788671024,0.883892564,95,68
business_activity,4,entrepreneurs (SMEs),0.872340426,0,0,0,0.872340426,0.872340426,0.872340426,0.465909091,-0.019891501,0.117021277,0.670317634,0.311583694,94,11
business_activity,4,entrepreneurs (large enterprises),0.829787234,0.9,0.5625,0.692307692,0.829787234,0.829787234,0.829787234,0.787330317,0.583148559,0.340425532,0.803427419,0.801591509,94,32
business_activity,4,entrepreneurs in [specific] sector,0.680851064,0.913043478,0.617647059,0.736842105,0.680851064,0.680851064,0.680851064,0.66571835,0.367713004,0.723404255,0.844457014,0.940865191,94,68
