model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
profession,0,athletes,0.97486535,0.954545455,0.851351351,0.9,0.97486535,0.97486535,0.97486535,0.942813142,0.885679939,0.132854578,0.996530692,0.979305386,557,74
profession,0,authors and artists,0.985637343,0.888888889,0.888888889,0.888888889,0.985637343,0.985637343,0.985637343,0.940605673,0.881211346,0.064631957,0.994721689,0.910283794,557,36
profession,0,doctors,0.996409336,1,0.857142857,0.923076923,0.996409336,0.996409336,0.996409336,0.960619344,0.921249823,0.02513465,0.963167587,0.915212982,557,14
profession,0,farmers and fishermen,0.996409336,0.933333333,0.933333333,0.933333333,0.996409336,0.996409336,0.996409336,0.965744157,0.931488315,0.026929982,0.999384994,0.981520468,557,15
profession,0,health and care professionals,0.992818671,1,0.428571429,0.6,0.992818671,0.992818671,0.992818671,0.798188406,0.596960926,0.012567325,0.992727273,0.80952381,557,7
profession,0,journalists,0.994614004,1,0.666666667,0.8,0.994614004,0.994614004,0.994614004,0.898635123,0.797380866,0.016157989,0.811841038,0.781818624,557,9
profession,0,legal professionals,0.992818671,0.75,0.9,0.818181818,0.992818671,0.992818671,0.992818671,0.907259407,0.814549692,0.017953321,0.995795247,0.802279942,557,10
profession,0,other profession,0.922800718,0.92,0.359375,0.516853933,0.922800718,0.922800718,0.922800718,0.737451357,0.483514114,0.114901257,0.910148327,0.712197794,557,64
profession,0,politicians and high-ranking officials,0.946140036,0.974895397,0.906614786,0.939516129,0.946140036,0.946140036,0.946140036,0.94548622,0.89108756,0.461400359,0.989909209,0.988980936,557,257
profession,0,prostitutes,0.998204668,1,0.833333333,0.909090909,0.998204668,0.998204668,0.998204668,0.954092145,0.908191858,0.010771993,0.859346642,0.835456476,557,6
profession,0,scientists and professors,0.987432675,0.857142857,0.705882353,0.774193548,0.987432675,0.987432675,0.987432675,0.883865011,0.76779227,0.030520646,0.994444444,0.87972296,557,17
profession,0,security forces,0.976660682,0.906976744,0.8125,0.857142857,0.976660682,0.976660682,0.976660682,0.922217567,0.8444769,0.086175943,0.983832678,0.93923057,557,48
profession,0,soldiers,0.998204668,1,0.9375,0.967741935,0.998204668,0.998204668,0.998204668,0.983409287,0.966819563,0.028725314,0.959334566,0.940217391,557,16
profession,0,teachers and educators,0.996409336,1,0.846153846,0.916666667,0.996409336,0.996409336,0.996409336,0.957415902,0.914844825,0.023339318,1,1,557,13
profession,1,athletes,0.967625899,0.9375,0.810810811,0.869565217,0.967625899,0.967625899,0.967625899,0.925542362,0.851195432,0.133093525,0.985813614,0.947688527,556,74
profession,1,authors and artists,0.991007194,0.942857143,0.916666667,0.929577465,0.991007194,0.991007194,0.991007194,0.962387195,0.924775409,0.064748201,0.998985043,0.98406076,556,36
profession,1,doctors,0.994604317,1,0.785714286,0.88,0.994604317,0.994604317,0.994604317,0.938620055,0.877280753,0.025179856,0.999604639,0.985969388,556,14
profession,1,farmers and fishermen,0.992805755,0.823529412,0.933333333,0.875,0.992805755,0.992805755,0.992805755,0.935648148,0.871311191,0.026978417,0.998890943,0.963443223,556,15
profession,1,health and care professionals,0.992805755,0.714285714,0.714285714,0.714285714,0.992805755,0.992805755,0.992805755,0.855321364,0.710642727,0.012589928,0.929742389,0.639144338,556,7
