model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
social_deviance,0,drug addicts,0.954545455,1,0.4,0.571428571,0.954545455,0.954545455,0.954545455,0.773714286,0.552036199,0.075757576,1,1,66,5
social_deviance,0,extremists,0.924242424,0.9,0.692307692,0.782608696,0.924242424,0.924242424,0.924242424,0.868368568,0.737678855,0.196969697,0.907111756,0.859144108,66,13
social_deviance,0,"offenders, criminals, prisoners and/or accused people",0.757575758,0.92,0.621621622,0.741935484,0.757575758,0.757575758,0.757575758,0.756682028,0.528991971,0.560606061,0.859273066,0.892886997,66,37
social_deviance,0,"terrorists, rebels, revolutionaries and/or movements of armed resistance",0.878787879,1,0.466666667,0.636363636,0.878787879,0.878787879,0.878787879,0.781818182,0.574879227,0.227272727,0.867973856,0.749897591,66,15
social_deviance,1,drug addicts,1,1,1,1,1,1,1,1,1,0.074626866,1,1,67,5
social_deviance,1,extremists,0.880597015,1,0.384615385,0.555555556,0.880597015,0.880597015,0.880597015,0.743295019,0.501858736,0.194029851,0.92022792,0.857977572,67,13
social_deviance,1,"offenders, criminals, prisoners and/or accused people",0.746268657,0.954545455,0.567567568,0.711864407,0.746268657,0.746268657,0.746268657,0.74259887,0.510107527,0.552238806,0.876576577,0.920011388,67,37
social_deviance,1,"terrorists, rebels, revolutionaries and/or movements of armed resistance",0.895522388,1,0.533333333,0.695652174,0.895522388,0.895522388,0.895522388,0.816294555,0.639508071,0.223880597,0.946153846,0.879710551,67,15
social_deviance,2,drug addicts,0.984848485,1,0.8,0.888888889,0.984848485,0.984848485,0.984848485,0.940379404,0.880866426,0.075757576,1,1,66,5
social_deviance,2,extremists,0.924242424,1,0.583333333,0.736842105,0.924242424,0.924242424,0.924242424,0.846297159,0.696132597,0.181818182,0.929012346,0.834821429,66,12
social_deviance,2,"offenders, criminals, prisoners and/or accused people",0.681818182,0.863636364,0.513513514,0.644067797,0.681818182,0.681818182,0.681818182,0.678198282,0.388349515,0.560606061,0.849021435,0.878007533,66,37
social_deviance,2,"terrorists, rebels, revolutionaries and/or movements of armed resistance",0.818181818,0.666666667,0.4,0.5,0.818181818,0.818181818,0.818181818,0.694444444,0.397260274,0.227272727,0.867973856,0.666900367,66,15
social_deviance,3,drug addicts,1,1,1,1,1,1,1,1,1,0.061538462,1,1,65,4
social_deviance,3,extremists,0.907692308,0.875,0.583333333,0.7,0.907692308,0.907692308,0.907692308,0.822727273,0.64801444,0.184615385,0.935534591,0.811333256,65,12
social_deviance,3,"offenders, criminals, prisoners and/or accused people",0.753846154,1,0.555555556,0.714285714,0.753846154,0.753846154,0.753846154,0.749034749,0.527272727,0.553846154,0.915708812,0.937661496,65,36
social_deviance,3,"terrorists, rebels, revolutionaries and/or movements of armed resistance",0.953846154,1,0.8,0.888888889,0.953846154,0.953846154,0.953846154,0.929881338,0.860215054,0.230769231,0.904,0.878490028,65,15
social_deviance,4,drug addicts,1,1,1,1,1,1,1,1,1,,1,1,66,4
social_deviance,4,extremists,0.939393939,1,0.666666667,0.8,0.939393939,0.939393939,0.939393939,0.882142857,0.765957447,,0.905864198,0.842718617,66,12
social_deviance,4,"offenders, criminals, prisoners and/or accused people",0.681818182,0.826086957,0.527777778,0.644067797,0.681818182,0.681818182,0.681818182,0.678198282,0.380697051,,0.794444444,0.811371615,66,36
social_deviance,4,"terrorists, rebels, revolutionaries and/or movements of armed resistance",0.878787879,0.888888889,0.533333333,0.666666667,0.878787879,0.878787879,0.878787879,0.796296296,0.598173516,,0.88627451,0.783272461,66,15
