accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail,fold
0.978494624,1,0.6,0.75,0.978494624,0.978494624,0.978494624,0.869382022,0.739495798,0.053763441,0.911363636,0.69010989,car drivers,93,5,0
0.817204301,0.981132075,0.764705882,0.859504132,0.817204301,0.817204301,0.817204301,0.798982835,0.609147095,0.731182796,0.952352941,0.974365288,consumers and clients,93,68,0
0.946236559,1,0.75,0.857142857,0.946236559,0.946236559,0.946236559,0.912015137,0.824858757,0.215053763,1,1,patients,93,20,0
0.988888889,1,0.75,0.857142857,0.988888889,0.988888889,0.988888889,0.925681255,0.851485149,0.044444444,0.979651163,0.840909091,car drivers,90,4,1
0.933333333,1,0.910447761,0.953125,0.933333333,0.933333333,0.933333333,0.918870192,0.83861327,0.744444444,0.99156392,0.997456158,consumers and clients,90,67,1
0.966666667,1,0.842105263,0.914285714,0.966666667,0.966666667,0.966666667,0.94679803,0.893784422,0.211111111,0.99777613,0.992822967,patients,90,19,1
0.988888889,1,0.75,0.857142857,0.988888889,0.988888889,0.988888889,0.925681255,0.851485149,0.044444444,1,1,car drivers,90,4,2
0.844444444,1,0.791044776,0.883333333,0.844444444,0.844444444,0.844444444,0.825,0.659275284,0.744444444,0.99091499,0.99704629,consumers and clients,90,67,2
0.955555556,1,0.789473684,0.882352941,0.955555556,0.955555556,0.955555556,0.92747784,0.855421687,0.211111111,0.992587102,0.976565097,patients,90,19,2
0.988888889,1,0.75,0.857142857,0.988888889,0.988888889,0.988888889,0.925681255,0.851485149,0.044444444,0.944767442,0.793478261,car drivers,90,4,3
0.844444444,1,0.791044776,0.883333333,0.844444444,0.844444444,0.844444444,0.825,0.659275284,0.744444444,0.963659961,0.988507107,consumers and clients,90,67,3
0.955555556,1,0.789473684,0.882352941,0.955555556,0.955555556,0.955555556,0.92747784,0.855421687,0.211111111,0.997034841,0.989293409,patients,90,19,3
0.988888889,1,0.75,0.857142857,0.988888889,0.988888889,0.988888889,0.925681255,0.851485149,0.044444444,1,1,car drivers,90,4,4
0.877777778,1,0.835820896,0.910569106,0.877777778,0.877777778,0.877777778,0.858793325,0.722378015,0.744444444,0.961713173,0.988921228,consumers and clients,90,67,4
0.922222222,1,0.631578947,0.774193548,0.922222222,0.922222222,0.922222222,0.863606841,0.730077121,0.211111111,0.997034841,0.988578386,patients,90,19,4
