Accuracy,Precision,Recall,F1,N,group_type,group
0.896825397,0.904682407,0.896825397,0.898942563,1260,overall,ALL
0.943396226,0.944953579,0.943396226,0.943806234,53,outlet,Welt
0.931034483,0.942068966,0.931034483,0.93206254,58,outlet,SZ
0.923076923,0.923366108,0.923076923,0.921552322,52,outlet,Parisien
0.920353982,0.921143647,0.920353982,0.920667607,226,outlet,Médiapart
0.918032787,0.921132829,0.918032787,0.91924962,61,outlet,Figaro
0.907335907,0.917103204,0.907335907,0.909968572,259,outlet,Libération
0.896694215,0.914562315,0.896694215,0.899846866,242,outlet,Le Monde Diplomatique
0.883333333,0.889488636,0.883333333,0.878964507,60,outlet,Le Monde
0.861538462,0.860530168,0.861538462,0.86081448,65,outlet,FAZ
0.843137255,0.909184727,0.843137255,0.855337691,51,outlet,Zeit
0.82278481,0.884306942,0.82278481,0.840135113,79,outlet,Bild
0.833333333,0.860294118,0.833333333,0.839530333,54,outlet,Spiegel
0.907777778,0.912386142,0.907777778,0.909162202,900,country,France
0.869444444,0.888075954,0.869444444,0.873633711,360,country,Germany
0.933333333,0.936720143,0.933333333,0.934437543,45,decade,1990s
0.927631579,0.928893167,0.927631579,0.927893561,152,decade,2000s
0.897106109,0.907912,0.897106109,0.89987661,311,decade,2010s
0.889679715,0.899215396,0.889679715,0.892587592,562,decade,Unknown
0.884210526,0.89304716,0.884210526,0.886094757,190,decade,2020s
