model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
labor_market_w_entrepreneurs,0,CEOs and corporate leaders,0.959276018,1,0.4,0.571428571,0.959276018,0.959276018,0.959276018,0.77502545,0.554135844,0.067873303,0.914239482,0.792791394,221,15
labor_market_w_entrepreneurs,0,civil servants,0.981900452,1,0.6,0.75,0.981900452,0.981900452,0.981900452,0.870305164,0.741217799,0.045248869,0.919905213,0.808847771,221,10
labor_market_w_entrepreneurs,0,employers,0.972850679,0.785714286,0.785714286,0.785714286,0.972850679,0.972850679,0.972850679,0.885610766,0.771221532,0.063348416,0.931331953,0.778023366,221,14
labor_market_w_entrepreneurs,0,entrepreneur,0.828054299,0.822222222,0.770833333,0.795698925,0.828054299,0.828054299,0.828054299,0.823630712,0.647527911,0.43438914,0.9095,0.885395854,221,96
labor_market_w_entrepreneurs,0,housewife and househusband,1,1,1,1,1,1,1,1,1,0.022624434,1,1,221,5
labor_market_w_entrepreneurs,0,retirees,0.990950226,0.8,0.8,0.8,0.990950226,0.990950226,0.990950226,0.897685185,0.79537037,0.022624434,0.992592593,0.743333333,221,5
labor_market_w_entrepreneurs,0,self-employed and freelancers,0.995475113,1,0.75,0.857142857,0.995475113,0.995475113,0.995475113,0.927422003,0.854891661,0.018099548,1,1,221,4
labor_market_w_entrepreneurs,0,unemployed,0.990950226,1,0.818181818,0.9,0.990950226,0.990950226,0.990950226,0.947630332,0.895310279,0.049773756,0.977489177,0.916955479,221,11
labor_market_w_entrepreneurs,0,wage and salary earners,0.882352941,0.918918919,0.772727273,0.839506173,0.882352941,0.882352941,0.882352941,0.873324515,0.747739046,0.398190045,0.944634313,0.933449056,221,88
labor_market_w_entrepreneurs,1,CEOs and corporate leaders,0.96460177,0.705882353,0.8,0.75,0.96460177,0.96460177,0.96460177,0.86547619,0.731032431,0.066371681,0.976935229,0.758430564,226,15
labor_market_w_entrepreneurs,1,civil servants,0.982300885,1,0.6,0.75,0.982300885,0.982300885,0.982300885,0.870412844,0.741418764,0.044247788,0.979166667,0.873582766,226,10
labor_market_w_entrepreneurs,1,employers,0.982300885,0.857142857,0.857142857,0.857142857,0.982300885,0.982300885,0.982300885,0.923854447,0.847708895,0.061946903,0.986185984,0.868793745,226,14
labor_market_w_entrepreneurs,1,entrepreneur,0.840707965,0.941176471,0.666666667,0.780487805,0.840707965,0.840707965,0.840707965,0.827743902,0.661112962,0.424778761,0.940304487,0.937502198,226,96
labor_market_w_entrepreneurs,1,housewife and househusband,1,1,1,1,1,1,1,1,1,0.017699115,1,1,226,4
labor_market_w_entrepreneurs,1,retirees,0.991150442,1,0.5,0.666666667,0.991150442,0.991150442,0.991150442,0.831091181,0.662686567,0.017699115,0.996621622,0.854166667,226,4
labor_market_w_entrepreneurs,1,self-employed and freelancers,0.995575221,0.8,1,0.888888889,0.995575221,0.995575221,0.995575221,0.943315776,0.88665998,0.017699115,0.998873874,0.95,226,4
labor_market_w_entrepreneurs,1,unemployed,0.986725664,1,0.727272727,0.842105263,0.986725664,0.986725664,0.986725664,0.917588428,0.835356969,0.048672566,0.961945032,0.918991899,226,11
