accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.9,1.0,0.6,0.75,0.9,0.9,0.9,0.84375,0.6923076923076923,0.25,1.0,1.0,Bild,20,5
0.9166666666666666,1.0,0.7142857142857143,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.7798165137614679,0.2916666666666667,0.9915966386554622,0.9821428571428572,FAZ,24,7
0.9166666666666666,1.0,0.6875,0.8148148148148148,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8805256869772999,0.7634069400630915,0.26666666666666666,0.9644886363636364,0.9391514380871966,Figaro,60,16
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,Liberation,4,1
0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.42857142857142855,0.0,0.25,0.6666666666666667,0.5,Mediapart,4,1
0.75,0.5,0.2,0.2857142857142857,0.75,0.75,0.75,0.5670995670995671,0.16666666666666663,0.25,0.8933333333333334,0.7277777777777779,Monde,20,5
0.9375,1.0,0.75,0.8571428571428571,0.9375,0.9375,0.9375,0.9085714285714286,0.8181818181818181,0.25,1.0,1.0,MondeDiplo,16,4
0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.42857142857142855,0.0,0.25,0.6666666666666667,0.5,Parisien,4,1
0.8125,1.0,0.25,0.4,0.8125,0.8125,0.8125,0.6444444444444444,0.33333333333333337,0.25,0.875,0.85,SZ,16,4
0.8333333333333334,1.0,0.38461538461538464,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7264957264957266,0.47683923705722076,0.2708333333333333,0.8813186813186814,0.861375693272245,Spiegel,48,13
0.9642857142857143,1.0,0.8571428571428571,0.9230769230769231,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9499105545617174,0.9,0.25,0.9863945578231292,0.9682539682539681,Welt,28,7
0.875,1.0,0.5,0.6666666666666666,0.875,0.875,0.875,0.7948717948717949,0.6,0.25,0.9537037037037037,0.9055555555555556,Zeit,24,6
