accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.90625,1.0,0.625,0.7692307692307693,0.90625,0.90625,0.90625,0.8552036199095023,0.7142857142857143,0.9791666666666666,0.9502840909090909,Bild,32,8
0.875,1.0,0.5,0.6666666666666666,0.875,0.875,0.875,0.7948717948717949,0.6,0.8958333333333333,0.8611111111111112,FAZ,16,4
0.8611111111111112,1.0,0.5,0.6666666666666666,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.7894736842105263,0.5909090909090908,0.8461538461538461,0.8151910408432147,Figaro,36,10
0.8333333333333334,1.0,0.3333333333333333,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7,0.4285714285714286,0.4444444444444444,0.49831649831649827,Mediapart,12,3
0.84375,0.875,0.4375,0.5833333333333334,0.84375,0.84375,0.84375,0.7435897435897436,0.5,0.8723958333333333,0.7305110861360862,Monde,64,16
0.875,0.6666666666666666,1.0,0.8,0.875,0.875,0.875,0.8545454545454545,0.7142857142857143,1.0,1.0,MondeDiplo,8,2
0.95,1.0,0.8,0.8888888888888888,0.95,0.95,0.95,0.9283154121863799,0.8571428571428572,1.0,1.0,Parisien,20,5
0.9583333333333334,0.8571428571428571,1.0,0.9230769230769231,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9472527472527472,0.8947368421052632,1.0,1.0,SZ,24,6
0.8125,0.75,0.375,0.5,0.8125,0.8125,0.8125,0.6923076923076923,0.4,0.9635416666666666,0.8644345238095238,Spiegel,32,8
0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7777777777777777,0.5555555555555556,0.8518518518518519,0.5888888888888889,Welt,12,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Zeit,8,2
