outlet,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
Parisien,6202,240,0.971138342470171,0.5749385749385749,0.975,0.723338485316847,0.9861934613664318,0.7915891056081799,0.6203208556149733,0.9666666666666667,0.755700325732899,0.7060931899641577,0.8208333333333333,0.7591522157996147
Welt,4319,105,0.9784672377865247,0.53125,0.9714285714285714,0.6868686868686869,0.9928458426559993,0.6827812552655461,0.5804597701149425,0.9619047619047619,0.7240143369175627,0.6904761904761905,0.8285714285714286,0.7532467532467533
Bild,4564,79,0.9855390008764242,0.5460992907801419,0.9746835443037974,0.7,0.9829078644708804,0.7608679548014773,0.5746268656716418,0.9746835443037974,0.7230046948356808,0.6330275229357798,0.8734177215189873,0.7340425531914894
Liberation,2023,43,0.9757785467128027,0.4673913043478261,1.0,0.6370370370370371,0.9949964763918252,0.7361675237502395,0.48863636363636365,1.0,0.6564885496183206,0.6065573770491803,0.8604651162790697,0.7115384615384616
Figaro,5859,125,0.9788359788359788,0.5020746887966805,0.968,0.6612021857923497,0.9872207882804325,0.7226065104337654,0.5336322869955157,0.952,0.6839080459770115,0.6257668711656442,0.816,0.7083333333333334
Zeit,4109,55,0.9827208566561207,0.4344262295081967,0.9636363636363636,0.5988700564971752,0.9815849665874332,0.7289773831079246,0.5096153846153846,0.9636363636363636,0.6666666666666666,0.5679012345679012,0.8363636363636363,0.6764705882352942
SZ,4704,99,0.9747023809523809,0.4523809523809524,0.9595959595959596,0.6148867313915858,0.9899494401123066,0.6367804742143316,0.49214659685863876,0.9494949494949495,0.6482758620689655,0.5483870967741935,0.8585858585858586,0.6692913385826772
Spiegel,4438,75,0.9792699414150519,0.44654088050314467,0.9466666666666667,0.6068376068376068,0.9824066009626403,0.5881207324072858,0.4755244755244755,0.9066666666666666,0.6238532110091743,0.5742574257425742,0.7733333333333333,0.6590909090909091
Mediapart,2646,23,0.9837490551776266,0.34375,0.9565217391304348,0.5057471264367817,0.9940658721344626,0.5443354133081635,0.34375,0.9565217391304348,0.5057471264367817,0.45652173913043476,0.9130434782608695,0.6086956521739131
Monde,5040,63,0.9817460317460317,0.4013605442176871,0.9365079365079365,0.5619047619047619,0.9795312405318434,0.5242368267231888,0.453125,0.9206349206349206,0.6073298429319371,0.5,0.746031746031746,0.5987261146496815
FAZ,4109,29,0.9868581163300073,0.345679012345679,0.9655172413793104,0.509090909090909,0.9946289722785666,0.4051646347069588,0.3698630136986301,0.9310344827586207,0.5294117647058824,0.4107142857142857,0.7931034482758621,0.5411764705882353
MondeDiplo,2625,30,0.9767619047619047,0.3176470588235294,0.9,0.46956521739130436,0.9891843288375081,0.4198726868616637,0.3375,0.9,0.4909090909090909,0.39344262295081966,0.8,0.5274725274725275
