accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,Bild,3,1
0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.5,0.888888888888889,0.9166666666666665,FAZ,6,3
0.9166666666666666,1.0,0.8,0.8888888888888888,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9111111111111111,0.8235294117647058,0.4166666666666667,1.0,1.0,Figaro,12,5
0.9166666666666666,1.0,0.75,0.8571428571428571,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8991596638655461,0.8,0.3333333333333333,0.9375,0.9166666666666666,Liberation,12,4
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,MondeDiplo,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,Parisien,3,1
0.8666666666666667,1.0,0.6,0.75,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8295454545454546,0.6666666666666667,0.3333333333333333,0.9,0.8999999999999999,SZ,15,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,1.0,1.0,Spiegel,12,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,Welt,6,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,Zeit,6,2
