accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.875,1.0,0.5555555555555556,0.7142857142857143,0.875,0.875,0.875,0.8171428571428572,0.6424581005586592,0.28125,0.9516908212560387,0.8975308641975309,Bild,32,9
0.96875,1.0,0.875,0.9333333333333333,0.96875,0.96875,0.96875,0.9564625850340136,0.9130434782608696,0.25,0.9947916666666667,0.9861111111111112,FAZ,32,8
0.75,0.0,0.0,0.0,0.75,0.75,0.75,0.42857142857142855,0.0,0.25,1.0,1.0,Figaro,8,2
0.875,1.0,0.5,0.6666666666666666,0.875,0.875,0.875,0.7948717948717949,0.6,0.25,0.9166666666666667,0.8333333333333333,Mediapart,8,2
0.8958333333333334,1.0,0.5833333333333334,0.7368421052631579,0.8958333333333334,0.8958333333333334,0.8958333333333334,0.8359535201640464,0.6774193548387097,0.25,0.8310185185185186,0.7864803345309501,Monde,48,12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,MondeDiplo,4,1
0.875,1.0,0.5,0.6666666666666666,0.875,0.875,0.875,0.7948717948717949,0.6,0.25,0.9814814814814814,0.9583333333333334,Parisien,24,6
0.90625,1.0,0.6666666666666666,0.8,0.90625,0.90625,0.90625,0.8693877551020408,0.7419354838709677,0.28125,0.961352657004831,0.9216200466200466,SZ,32,9
0.9285714285714286,1.0,0.7142857142857143,0.8333333333333334,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.893939393939394,0.7894736842105263,0.25,0.9251700680272108,0.8839285714285714,Spiegel,28,7
0.90625,1.0,0.625,0.7692307692307693,0.90625,0.90625,0.90625,0.8552036199095023,0.7142857142857143,0.25,0.953125,0.9064685314685315,Welt,32,8
0.9166666666666666,0.75,1.0,0.8571428571428571,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8991596638655461,0.8,0.25,1.0,1.0,Zeit,12,3
