hypothesis_label,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned,avg_threshold,best_method,precision_best,recall_best,f1_best
women,7234,326,0.9611556538567874,0.5376884422110553,0.9846625766871165,0.695557963163597,0.9855604420588204,0.6683263690879946,0.5824175824175825,0.9754601226993865,0.7293577981651376,0.6373873873873874,0.8680981595092024,0.7350649350649351,0.9919244809731822,threshold_tuned,0.6373873873873874,0.8680981595092024,0.7350649350649351
disabled people,7234,32,0.9937793751727951,0.4084507042253521,0.90625,0.5631067961165048,0.9588872882532631,0.6233007290330033,0.5370370370370371,0.90625,0.6744186046511628,0.5714285714285714,0.875,0.691358024691358,0.9907478085761682,threshold_tuned,0.5714285714285714,0.875,0.691358024691358
"people with an immigration background, including immigrants",7234,220,0.9611556538567874,0.43711340206185567,0.9636363636363636,0.601418439716312,0.9815307696295721,0.6617103041691084,0.5175879396984925,0.9363636363636364,0.6666666666666666,0.5892255892255892,0.7954545454545454,0.6769825918762089,0.9926046191457009,threshold_tuned,0.5892255892255892,0.7954545454545454,0.6769825918762089
men,7234,135,0.973458667403926,0.4077669902912621,0.9333333333333333,0.5675675675675675,0.9745457106634738,0.5270750941687877,0.4432624113475177,0.9259259259259259,0.5995203836930456,0.4915254237288136,0.8592592592592593,0.6253369272237197,0.9925530052612662,threshold_tuned,0.4915254237288136,0.8592592592592593,0.6253369272237197
Jews,7234,34,0.985485208736522,0.23308270676691728,0.9117647058823529,0.3712574850299401,0.9473080065359477,0.702238380488537,0.29896907216494845,0.8529411764705882,0.44274809160305345,0.5609756097560976,0.6764705882352942,0.6133333333333333,0.9937688058750346,threshold_tuned,0.5609756097560976,0.6764705882352942,0.6133333333333333
LGBTQIA+,7234,79,0.9850705004147083,0.4180790960451977,0.9367088607594937,0.578125,0.994175976788826,0.5614862506379803,0.48905109489051096,0.8481012658227848,0.6203703703703703,0.5,0.7468354430379747,0.5989847715736041,0.9867882229803705,threshold_tuned,0.5,0.7468354430379747,0.5989847715736041
Muslims,7234,34,0.9879734586674039,0.2773109243697479,0.9705882352941176,0.43137254901960786,0.990625,0.5798834281680408,0.34408602150537637,0.9411764705882353,0.5039370078740157,0.39655172413793105,0.6764705882352942,0.5,0.9920625022214542,threshold_tuned,0.39655172413793105,0.6764705882352942,0.5
Christians,7234,35,0.9857616809510644,0.25,0.9714285714285714,0.39766081871345027,0.9950866191732979,0.44864584661278345,0.30612244897959184,0.8571428571428571,0.45112781954887216,0.35064935064935066,0.7714285714285715,0.48214285714285715,0.9889466307658281,threshold_tuned,0.35064935064935066,0.7714285714285715,0.48214285714285715
cisgender and heterosexuals,7234,20,0.9912911252419132,0.22784810126582278,0.9,0.36363636363636365,0.969600776268367,0.2617838085341251,0.32142857142857145,0.9,0.47368421052631576,0.3076923076923077,0.8,0.4444444444444444,0.9843319966602156,threshold_tuned,0.3076923076923077,0.8,0.4444444444444444
multiple (or other) religious or minority groups,7234,14,0.989908764169201,0.11688311688311688,0.6428571428571429,0.1978021978021978,0.8772061733280568,0.22255646556723171,0.12,0.21428571428571427,0.15384615384615385,0.13333333333333333,0.5714285714285714,0.21621621621621623,0.7550219365993918,threshold_tuned,0.13333333333333333,0.5714285714285714,0.21621621621621623
Ethnic and racial minorities,7234,17,0.984241083771081,0.10569105691056911,0.7647058823529411,0.18571428571428572,0.8852871895605963,0.211034057299282,0.12345679012345678,0.5882352941176471,0.20408163265306123,0.09333333333333334,0.4117647058823529,0.15217391304347827,0.972593514257672,threshold_tuned,0.09333333333333334,0.4117647058823529,0.15217391304347827
