outlet,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
SZ,7392,117,0.9871482683982684,0.5533980582524272,0.9743589743589743,0.7058823529411765,0.9858642464828034,0.7916590006862939,0.6470588235294118,0.9401709401709402,0.7665505226480837,0.6884057971014492,0.811965811965812,0.7450980392156863
Spiegel,6974,198,0.9716088328075709,0.5,0.9494949494949495,0.6550522648083623,0.9795285350553945,0.6444022310664577,0.5648148148148148,0.9242424242424242,0.7011494252873564,0.59375,0.8636363636363636,0.7037037037037037
FAZ,6457,80,0.9859067678488462,0.46745562130177515,0.9875,0.6345381526104418,0.9966422298886622,0.7248569342777971,0.5620437956204379,0.9625,0.7096774193548387,0.5909090909090909,0.8125,0.6842105263157895
Welt,6787,104,0.9805510534846029,0.43805309734513276,0.9519230769230769,0.6,0.9886235453907158,0.6072202434328025,0.5161290322580645,0.9230769230769231,0.6620689655172414,0.5608108108108109,0.7980769230769231,0.6587301587301587
Bild,7172,70,0.9841048522030117,0.37777777777777777,0.9714285714285714,0.544,0.9897996540210001,0.6147033292794744,0.42953020134228187,0.9142857142857143,0.5844748858447488,0.49572649572649574,0.8285714285714286,0.6203208556149733
Zeit,6457,53,0.9876103453616231,0.3884297520661157,0.8867924528301887,0.5402298850574713,0.981086408258989,0.5679074491443311,0.4631578947368421,0.8301886792452831,0.5945945945945946,0.5,0.7358490566037735,0.5954198473282443
Parisien,9746,37,0.989226349271496,0.2571428571428571,0.972972972972973,0.4067796610169492,0.9945355799717732,0.5076291455161163,0.36,0.972972972972973,0.5255474452554745,0.44,0.8918918918918919,0.5892857142857143
Monde,7920,51,0.9859848484848485,0.310126582278481,0.9607843137254902,0.4688995215311005,0.9738287995335381,0.4987360532314044,0.3700787401574803,0.9215686274509803,0.5280898876404494,0.4444444444444444,0.7843137254901961,0.5673758865248227
Figaro,9207,104,0.9770826545020094,0.3222591362126246,0.9326923076923077,0.47901234567901235,0.9728291180422347,0.525921935322488,0.36254980079681276,0.875,0.5126760563380282,0.3933649289099526,0.7980769230769231,0.526984126984127
MondeDiplo,4125,44,0.969939393939394,0.25609756097560976,0.9545454545454546,0.40384615384615385,0.9624534984740816,0.5192110668409814,0.3474576271186441,0.9318181818181818,0.5061728395061729,0.3888888888888889,0.7954545454545454,0.5223880597014925
Liberation,3179,35,0.9782950613400441,0.3191489361702128,0.8571428571428571,0.46511627906976744,0.9590694292984369,0.4360118290308773,0.4393939393939394,0.8285714285714286,0.5742574257425742,0.47619047619047616,0.5714285714285714,0.5194805194805194
Mediapart,4158,53,0.9706589706589707,0.2982456140350877,0.9622641509433962,0.45535714285714285,0.9894652172913843,0.48717527881841527,0.3402777777777778,0.9245283018867925,0.49746192893401014,0.35833333333333334,0.8113207547169812,0.49710982658959535
