hypothesis_label,bucket,prob_entail,premise,outlet,year
Christians,false_positive,0.996,"Der Eintritt kostet 2 Euro.---Übrigens: Für die Ausweitung der Öffnungszeiten sucht das Projekt ""Kirchenempfang in den Romanischen Kirchen"" noch ehrenamtliche Unterstützer.",Bild,2022.0
Christians,false_positive,0.991,"Erschöpft, aber glücklich, gehen die Gläubigen danach bergab zu den Ständen, wo sie sich endlich mit /Reisgerichten und Getränken stärken dürfen, wo sich viele - vom schreienden Baby bis zum zerknitterten Großvater - von Open-Air-Friseuren wie am Fließband ruck, zuck vor aller Augen die Schädel kahl scheren lassen.---Als dann gegen zehn Uhr die Sonne schon heiß vom Himmel brennt, ist der Höhepunkt der Prozession vorbei, zerstreut sich die Menge.",Welt,2008.0
Christians,false_positive,0.997,"et la présence de certains aurait mérité quelques explications et précisions malheureusement absentes.---C'est le cas, par exemple, de Léon Bloy dont la place si particulière dans ' l'espace ' catholique et le sentiment si complexe à l'égard des juifs auraient exigé une présentation plus complète et plus circonstanciée.",Figaro,2002.0
Christians,false_positive,0.991,Quiconque s'en prend à une synagogue ne dira jamais qu'il l'a fait parce qu'il en veut aux juifs.,Figaro,2002.0
Christians,false_positive,0.997,"Depuis Los Angeles, le Centre Simon Wiesenthal (SWC) dénonce ' la plus vaste offensive conduite contre des synagogues européennes et des écoles juives depuis la Nuit de cristal ' hitlérienne, en 1938.",Figaro,2002.0
Christians,false_positive,0.993,"Das sind nur vorläufige Zahlen, die aber wenig Hoffnung lassen für die vielen Gläubiger.",SZ,2016.0
Christians,false_negative,0.989,"Oktober: ""Im Severinsviertel in Köln gibt's eine Kneipe, da gibt's Kölsch, und die haben wir gemietet"", freut er sich, ""und alle unsere Nachbarn eingeladen, den Friseur, die Buchhändlerin, den Pfarrer.",Bild,2022.0
Christians,false_negative,0.005,"L'Association des maires de France a laissé à chaque édile ' toute latitude pour organiser dans sa commune un rassemblement ', pas nécessairement le 1er mai, mais à la date qui lui paraît la plus appropriée.---Une myriade d'associations, d'Attac à la Jeunesse ouvrière chrétienne (JOC), de la Ligue des droits de l'homme (LDH) au Mouvement contre le racisme et pour l'amitié entre les peuples (Mrap), en passant par Droit au logement (DAL), participera aussi au grand rassemblement du 1er Mai (lire ci-contre).---Paris va par ailleurs abriter des défilés dissidents : à partir de 11 heures, plusieurs organisations antiracistes organisent un rassemblement au pont du Carrousel, en mémoire de Brahim Bouaram, jeté à la Seine par des skinheads, en marge de la manifestation du FN, le 1er mai 1995.",Figaro,2002.0
Christians,false_negative,0.982,"De son éducation chez les jésuites et de son passage à l'université catholique de Louvain, Pierre Ryckmans, qui a choisi son pseudonyme en hommage à Victor Segalen, a retenu l'idéal humaniste des disciplines ouvertes. '",Figaro,2002.0
Christians,false_negative,0.944,"Une centaine de fidèles polonais, biélorusses, arméniens, lituaniens assistent régulièrement à l'office.",Figaro,2002.0
Christians,false_negative,0.941,Seit Ende September ist Heße der Sonderbeauftragte der Deutschen Bischofskonferenz für Flüchtlingsfragen.,SZ,2015.0
Christians,false_negative,0.882,"Die positiven Zahlen erklärte er durch eine deutlich bessere Konjunktur als erwartet, dadurch mehr Kirchensteuer-Einnahmen und eine überraschend hohe Ausgleichszahlung bei der Verrechnung zwischen den Diözesen.---Doch das Grundproblem des krisengeschüttelten Bistums mit Missbrauchsvorwürfen und der Dauerkritik an Erzbischof Woelki bleibt: ---Die Zahl der Mitglieder sank von 1,87 weiter auf 1,81 Millionen.",Bild,2022.0
Christians,true_positive,0.997,Le mouvement anti-avortement dispose aujourd'hui de nombreux soutiens au sein de la droite religieuse.,Monde,1995.0
Christians,true_positive,0.996,"Mais, ' socialistes, nostalgiques de la fraternité marxiste ', chrétiens de gauche ou ' nationalistes obsédés par le ' péril allemand ', les desservants de l'universel communient dans la résignation.",Figaro,2002.0
Christians,true_positive,0.997,Il devrait du même coup démissionner de sa responsabilité actuelle d'aumônier national du Mouvement des cadres chrétiens (MCC).,Monde,1995.0
Christians,true_positive,0.994,"Au moment où l'Amérique entame une nouvelle ère politique marquée à droite, il n'est pas exclu que certains chrétiens extrémistes veuillent profiter d'un climat favorable aux valeurs conservatrices.",Monde,1995.0
Christians,true_positive,0.995,"Am Abend, nach der Speisung von Gläubigen mit Pizza (es ist Eisregen angesagt; wer weiß, ob jemand kommt), will er von der Kanzel zum Wählen ermuntern.",Welt,2008.0
