epoch,training_loss,validation_loss,eval_accuracy,eval_precision_binary,eval_recall_binary,eval_f1_binary,eval_precision_micro,eval_recall_micro,eval_f1_micro,eval_f1_macro,eval_cohen_kappa,eval_prevalence,eval_roc_auc,eval_pr_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,fold
0.2347417840375587,0.638,,,,,,,,,,,,,,,,,3
0.4694835680751174,0.3355,,,,,,,,,,,,,,,,,3
0.704225352112676,0.2294,,,,,,,,,,,,,,,,,3
0.9389671361502347,0.2551,,,,,,,,,,,,,,,,,3
1.0,,0.09194611757993698,0.9766527970411466,0.4782608695652174,0.8612099644128114,0.6149936467598475,0.9766527970411466,0.9766527970411466,0.9766527970411466,0.8014775139119275,0.6039672025680727,0.021652026506395437,0.9682652639946052,0.6057144892681448,32.4112,400.417,12.527,3
1.1737089201877935,0.2271,,,,,,,,,,,,,,,,,3
1.408450704225352,0.2037,,,,,,,,,,,,,,,,,3
1.6431924882629108,0.1674,,,,,,,,,,,,,,,,,3
1.8779342723004695,0.1976,,,,,,,,,,,,,,,,,3
2.0,,0.09782935678958893,0.9722607489597781,0.43492586490939045,0.9395017793594306,0.5945945945945946,0.9722607489597781,0.9722607489597781,0.9722607489597781,0.7901168281733145,0.5822281914242,0.021652026506395437,0.98266522453114,0.6228575328090379,32.3975,400.587,12.532,3
2.112676056338028,0.1284,,,,,,,,,,,,,,,,,3
2.347417840375587,0.1109,,,,,,,,,,,,,,,,,3
2.5821596244131455,0.0992,,,,,,,,,,,,,,,,,3
2.816901408450704,0.1236,,,,,,,,,,,,,,,,,3
3.0,,0.12662340700626373,0.9685621821544151,0.4039334341906203,0.9501779359430605,0.5668789808917197,0.9685621821544151,0.9685621821544151,0.9685621821544151,0.7752840574883161,0.5533055492612745,0.021652026506395437,0.9879674269456427,0.7611035646452025,32.4113,400.416,12.527,3
3.051643192488263,0.0907,,,,,,,,,,,,,,,,,3
3.2863849765258215,0.0618,,,,,,,,,,,,,,,,,3
3.52112676056338,0.0875,,,,,,,,,,,,,,,,,3
3.755868544600939,0.0666,,,,,,,,,,,,,,,,,3
3.9906103286384975,0.0622,,,,,,,,,,,,,,,,,3
4.0,,0.13678960502147675,0.970026198181538,0.4158878504672897,0.9501779359430605,0.5785482123510293,0.970026198181538,0.970026198181538,0.970026198181538,0.7815043622375129,0.5654596488691148,0.021652026506395437,0.9878795590742566,0.7590417873290413,33.3705,388.906,12.166,3
