outlet,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
Zeit,5283,130,0.9697141775506342,0.44360902255639095,0.9076923076923077,0.5959595959595959,0.9716729612324411,0.6882235339100269,0.5296803652968036,0.8923076923076924,0.664756446991404,0.5580110497237569,0.7769230769230769,0.6495176848874598
Monde,6480,198,0.9632716049382716,0.45145631067961167,0.9393939393939394,0.6098360655737705,0.9806911843683571,0.6191032767090541,0.4891891891891892,0.9141414141414141,0.6373239436619719,0.515358361774744,0.7626262626262627,0.615071283095723
Mediapart,3402,70,0.9664902998236331,0.37777777777777777,0.9714285714285714,0.544,0.9875192934316585,0.5668401148328651,0.44370860927152317,0.9571428571428572,0.6063348416289592,0.4661016949152542,0.7857142857142857,0.5851063829787234
Welt,5553,147,0.9661444264361606,0.43450479233226835,0.9251700680272109,0.591304347826087,0.9780597773700676,0.5819863205764176,0.4927536231884058,0.9251700680272109,0.6430260047281324,0.4838709677419355,0.7142857142857143,0.5769230769230769
Spiegel,5706,132,0.9674027339642481,0.4117647058823529,0.9545454545454546,0.5753424657534246,0.9865501081862761,0.6382868206112522,0.46360153256704983,0.9166666666666666,0.6157760814249363,0.46116504854368934,0.7196969696969697,0.5621301775147929
Figaro,7533,162,0.9678746847205628,0.393048128342246,0.9074074074074074,0.5485074626865671,0.9690256778734145,0.5281706592962632,0.4386503067484663,0.8827160493827161,0.5860655737704918,0.45384615384615384,0.7283950617283951,0.5592417061611374
FAZ,5283,141,0.9691463183797085,0.46206896551724136,0.950354609929078,0.6218097447795824,0.9838149738904474,0.6437457603939656,0.5078125,0.9219858156028369,0.654911838790932,0.47959183673469385,0.6666666666666666,0.5578635014836796
Parisien,7974,117,0.9766741911211437,0.37545126353790614,0.8888888888888888,0.5279187817258884,0.9616053625217428,0.5337560399922705,0.42543859649122806,0.8290598290598291,0.5623188405797102,0.45604395604395603,0.7094017094017094,0.5551839464882943
SZ,6048,126,0.9690806878306878,0.39730639730639733,0.9365079365079365,0.557919621749409,0.9812503015390552,0.5511255836297968,0.4578313253012048,0.9047619047619048,0.608,0.4444444444444444,0.6984126984126984,0.5432098765432098
Liberation,2601,36,0.98000768935025,0.4069767441860465,0.9722222222222222,0.5737704918032787,0.9921918995018411,0.5856074327102342,0.4583333333333333,0.9166666666666666,0.6111111111111112,0.46,0.6388888888888888,0.5348837209302325
MondeDiplo,3375,77,0.9573333333333334,0.34418604651162793,0.961038961038961,0.5068493150684932,0.9828861253967379,0.467490982284971,0.39344262295081966,0.935064935064935,0.5538461538461539,0.4027777777777778,0.7532467532467533,0.5248868778280543
Bild,5868,81,0.9744376278118609,0.3395348837209302,0.9012345679012346,0.49324324324324326,0.9782110605507875,0.49855302798616546,0.38857142857142857,0.8395061728395061,0.53125,0.39436619718309857,0.691358024691358,0.5022421524663677
