lab,test,train,total,test_share,fold
CEOs and corporate leaders,15,57,72,0.20833333333333334,0
civil servants,10,37,47,0.2127659574468085,0
employers,14,54,68,0.20588235294117646,0
entrepreneurs,136,544,680,0.2,0
housewives and househusbands,5,16,21,0.23809523809523808,0
retirees,5,16,21,0.23809523809523808,0
self-employed and freelancers,4,15,19,0.21052631578947367,0
unemployed,11,41,52,0.21153846153846154,0
wage and salary earners,88,349,437,0.20137299771167047,0
CEOs and corporate leaders,15,57,72,0.20833333333333334,1
civil servants,10,37,47,0.2127659574468085,1
employers,14,54,68,0.20588235294117646,1
entrepreneurs,136,544,680,0.2,1
housewives and househusbands,4,17,21,0.19047619047619047,1
retirees,4,17,21,0.19047619047619047,1
self-employed and freelancers,4,15,19,0.21052631578947367,1
unemployed,11,41,52,0.21153846153846154,1
wage and salary earners,88,349,437,0.20137299771167047,1
CEOs and corporate leaders,14,58,72,0.19444444444444445,2
civil servants,9,38,47,0.19148936170212766,2
employers,14,54,68,0.20588235294117646,2
entrepreneurs,136,544,680,0.2,2
housewives and househusbands,4,17,21,0.19047619047619047,2
retirees,4,17,21,0.19047619047619047,2
self-employed and freelancers,4,15,19,0.21052631578947367,2
unemployed,10,42,52,0.19230769230769232,2
wage and salary earners,87,350,437,0.19908466819221968,2
CEOs and corporate leaders,14,58,72,0.19444444444444445,3
civil servants,9,38,47,0.19148936170212766,3
employers,13,55,68,0.19117647058823528,3
entrepreneurs,136,544,680,0.2,3
housewives and househusbands,4,17,21,0.19047619047619047,3
retirees,4,17,21,0.19047619047619047,3
self-employed and freelancers,4,15,19,0.21052631578947367,3
unemployed,10,42,52,0.19230769230769232,3
wage and salary earners,87,350,437,0.19908466819221968,3
CEOs and corporate leaders,14,58,72,0.19444444444444445,4
civil servants,9,38,47,0.19148936170212766,4
employers,13,55,68,0.19117647058823528,4
entrepreneurs,136,544,680,0.2,4
housewives and househusbands,4,17,21,0.19047619047619047,4
retirees,4,17,21,0.19047619047619047,4
self-employed and freelancers,3,16,19,0.15789473684210525,4
unemployed,10,42,52,0.19230769230769232,4
wage and salary earners,87,350,437,0.19908466819221968,4
