model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
socio_economic,0,"capital owners, investors and shareholders",0.953846154,1,0.911764706,0.953846154,0.953846154,0.953846154,0.953846154,0.953846154,0.907888521,0.523076923,0.954459203,0.972625936,65,34
socio_economic,0,lower class,0.892307692,1,0.416666667,0.588235294,0.892307692,0.892307692,0.892307692,0.763144196,0.538071066,0.184615385,0.952830189,0.818587267,65,12
socio_economic,0,middle class,0.953846154,1,0.4,0.571428571,0.953846154,0.953846154,0.953846154,0.773519164,0.551724138,0.076923077,0.896666667,0.702380952,65,5
socio_economic,0,skilled or qualified,0.923076923,1,0.375,0.545454545,0.923076923,0.923076923,0.923076923,0.751718869,0.512743628,0.123076923,0.875,0.853629032,65,8
socio_economic,0,unskilled or unqualified,0.969230769,1,0.6,0.75,0.969230769,0.969230769,0.969230769,0.866803279,0.734693878,0.076923077,0.986666667,0.911111111,65,5
socio_economic,0,upper class,0.969230769,1,0.714285714,0.833333333,0.969230769,0.969230769,0.969230769,0.90819209,0.816901408,0.107692308,0.995073892,0.968253968,65,7
socio_economic,1,"capital owners, investors and shareholders",0.875,1,0.757575758,0.862068966,0.875,0.875,0.875,0.873891626,0.751697381,0.515625,0.979472141,0.981903353,64,33
socio_economic,1,lower class,0.90625,1,0.5,0.666666667,0.90625,0.90625,0.90625,0.806060606,0.619047619,0.1875,0.948717949,0.870125661,64,12
socio_economic,1,middle class,1,1,1,1,1,1,1,1,1,0.078125,1,1,64,5
socio_economic,1,skilled or qualified,0.96875,1,0.714285714,0.833333333,0.96875,0.96875,0.96875,0.908045977,0.816618911,0.109375,0.989974937,0.948051948,64,7
socio_economic,1,unskilled or unqualified,1,1,1,1,1,1,1,1,1,0.078125,1,1,64,5
socio_economic,1,upper class,1,1,1,1,1,1,1,1,1,0.09375,1,1,64,6
socio_economic,2,"capital owners, investors and shareholders",0.96969697,1,0.939393939,0.96875,0.96969697,0.96969697,0.96969697,0.969669118,0.939393939,0.5,0.971533517,0.980474308,66,33
socio_economic,2,lower class,0.939393939,1,0.636363636,0.777777778,0.939393939,0.939393939,0.939393939,0.871345029,0.744680851,0.166666667,0.930578512,0.823227018,66,11
socio_economic,2,middle class,0.984848485,1,0.8,0.888888889,0.984848485,0.984848485,0.984848485,0.940379404,0.880866426,0.075757576,0.947540984,0.847619048,66,5
socio_economic,2,skilled or qualified,0.954545455,0.833333333,0.714285714,0.769230769,0.954545455,0.954545455,0.954545455,0.872010343,0.744186047,0.106060606,0.987893462,0.927643785,66,7
socio_economic,2,unskilled or unqualified,0.954545455,0.75,0.6,0.666666667,0.954545455,0.954545455,0.954545455,0.821138211,0.642599278,0.075757576,0.960655738,0.770909091,66,5
socio_economic,2,upper class,0.939393939,1,0.333333333,0.5,0.939393939,0.939393939,0.939393939,0.733870968,0.476190476,0.090909091,0.783333333,0.622222222,66,6
socio_economic,3,"capital owners, investors and shareholders",0.909090909,1,0.818181818,0.9,0.909090909,0.909090909,0.909090909,0.908333333,0.818181818,0.5,0.924701561,0.951043978,66,33
socio_economic,3,lower class,0.909090909,0.857142857,0.545454545,0.666666667,0.909090909,0.909090909,0.909090909,0.807017544,0.617021277,0.166666667,0.895867769,0.807337757,66,11
socio_economic,3,middle class,0.96969697,1,0.6,0.75,0.96969697,0.96969697,0.96969697,0.866935484,0.734939759,0.075757576,0.895081967,0.69,66,5
socio_economic,3,skilled or qualified,0.939393939,1,0.428571429,0.6,0.939393939,0.939393939,0.939393939,0.783606557,0.572815534,0.106060606,0.978208232,0.863945578,66,7
socio_economic,3,unskilled or unqualified,0.954545455,1,0.4,0.571428571,0.954545455,0.954545455,0.954545455,0.773714286,0.552036199,0.075757576,0.721311475,0.508391734,66,5
socio_economic,3,upper class,0.939393939,1,0.333333333,0.5,0.939393939,0.939393939,0.939393939,0.733870968,0.476190476,0.090909091,0.886111111,0.654853129,66,6
socio_economic,4,"capital owners, investors and shareholders",0.861538462,1,0.727272727,0.842105263,0.861538462,0.861538462,0.861538462,0.859408796,0.724186704,,0.986742424,0.989333705,65,33
socio_economic,4,lower class,0.907692308,1,0.454545455,0.625,0.907692308,0.907692308,0.907692308,0.786184211,0.580645161,,0.942760943,0.822944249,65,11
socio_economic,4,middle class,1,1,1,1,1,1,1,1,1,,1,1,65,4
socio_economic,4,skilled or qualified,0.938461538,0.8,0.571428571,0.666666667,0.938461538,0.938461538,0.938461538,0.816384181,0.633802817,,0.972906404,0.802813853,65,7
socio_economic,4,unskilled or unqualified,0.969230769,0.8,0.8,0.8,0.969230769,0.969230769,0.969230769,0.891666667,0.783333333,,0.943333333,0.807619048,65,5
socio_economic,4,upper class,0.938461538,1,0.333333333,0.5,0.938461538,0.938461538,0.938461538,0.733606557,0.475806452,,0.709039548,0.591265374,65,6
social_roles,0,car drivers,0.980392157,1,0.6,0.75,0.980392157,0.980392157,0.980392157,0.869897959,0.740458015,0.049019608,0.997938144,0.966666667,102,5
social_roles,0,consumers and clients,0.852941176,1,0.779411765,0.876033058,0.852941176,0.852941176,0.852941176,0.847655083,0.701986755,0.666666667,0.980536332,0.99178845,102,68
