model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
real_estate,0,homeless,0.769230769,1,0.142857143,0.25,0.769230769,0.769230769,0.769230769,0.556818182,0.195876289,0.269230769,0.323308271,0.334170178,26,7
real_estate,0,real-estate owner,0.423076923,0,0,0,0.423076923,0.423076923,0.423076923,0.297297297,0,0.576923077,0.642424242,0.692395679,26,15
real_estate,0,tenants,0.653846154,0,0,0,0.653846154,0.653846154,0.653846154,0.395348837,0,0.346153846,0.483660131,0.392694679,26,9
real_estate,1,homeless,1,1,1,1,1,1,1,1,1,0.269230769,1,1,26,7
real_estate,1,real-estate owner,0.807692308,0.909090909,0.714285714,0.8,0.807692308,0.807692308,0.807692308,0.807407407,0.619883041,0.538461538,0.875,0.863183723,26,14
real_estate,1,tenants,0.961538462,1,0.875,0.933333333,0.961538462,0.961538462,0.961538462,0.953153153,0.90647482,0.307692308,1,1,26,8
real_estate,2,homeless,0.961538462,1,0.857142857,0.923076923,0.961538462,0.961538462,0.961538462,0.948717949,0.897637795,0.269230769,1,1,26,7
real_estate,2,real-estate owner,0.923076923,0.928571429,0.928571429,0.928571429,0.923076923,0.923076923,0.923076923,0.922619048,0.845238095,0.538461538,0.916666667,0.952022501,26,14
real_estate,2,tenants,0.923076923,1,0.75,0.857142857,0.923076923,0.923076923,0.923076923,0.902255639,0.805970149,0.307692308,0.875,0.888888889,26,8
real_estate,3,homeless,1,1,1,1,1,1,1,1,1,0.269230769,1,1,26,7
real_estate,3,real-estate owner,0.884615385,1,0.785714286,0.88,0.884615385,0.884615385,0.884615385,0.884444444,0.771929825,0.538461538,0.946428571,0.972049689,26,14
real_estate,3,tenants,1,1,1,1,1,1,1,1,1,0.307692308,1,1,26,8
real_estate,4,homeless,0.961538462,1,0.833333333,0.909090909,0.961538462,0.961538462,0.961538462,0.942350333,0.884955752,,0.941666667,0.91025641,26,6
real_estate,4,real-estate owner,0.923076923,0.928571429,0.928571429,0.928571429,0.923076923,0.923076923,0.923076923,0.922619048,0.845238095,,0.952380952,0.971088435,26,14
real_estate,4,tenants,0.923076923,0.875,0.875,0.875,0.923076923,0.923076923,0.923076923,0.909722222,0.819444444,,0.986111111,0.975,26,8
