hypothesis_label,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned,avg_threshold,best_method,precision_best,recall_best,f1_best
politicians and high-ranking officials,7234,1284,0.9043406137683163,0.6541666666666667,0.9781931464174455,0.784019975031211,0.9715899630880389,0.8360162341119707,0.6824618736383442,0.9758566978193146,0.8032051282051282,0.8055152394775036,0.8644859813084113,0.8339594290007513,0.9969556761542715,threshold_tuned,0.8055152394775036,0.8644859813084113,0.8339594290007513
sex workers,7234,27,0.9977882222836605,0.6341463414634146,0.9629629629629629,0.7647058823529411,0.9988899680865826,0.8634334773225733,0.7222222222222222,0.9629629629629629,0.8253968253968254,0.7666666666666667,0.8518518518518519,0.8070175438596491,0.9947265028614874,threshold_tuned,0.7666666666666667,0.8518518518518519,0.8070175438596491
doctors,7234,68,0.989908764169201,0.48175182481751827,0.9705882352941176,0.6439024390243903,0.9835702910804288,0.7618000039059847,0.5241935483870968,0.9558823529411765,0.6770833333333334,0.7402597402597403,0.8382352941176471,0.7862068965517242,0.9971898398258224,threshold_tuned,0.7402597402597403,0.8382352941176471,0.7862068965517242
athletes,7234,367,0.9513408902405308,0.5107604017216643,0.9700272479564033,0.6691729323308271,0.9834147359582952,0.7102468677685828,0.5340393343419062,0.9618528610354223,0.6867704280155642,0.6626746506986028,0.9046321525885559,0.7649769585253456,0.9970824726292508,threshold_tuned,0.6626746506986028,0.9046321525885559,0.7649769585253456
authors and artists,7234,178,0.9687586397567044,0.4387755102040816,0.9662921348314607,0.6035087719298246,0.9873691049453489,0.6953252827516225,0.4748603351955307,0.9550561797752809,0.6343283582089553,0.6591928251121076,0.8258426966292135,0.7331670822942643,0.996822417959635,threshold_tuned,0.6591928251121076,0.8258426966292135,0.7331670822942643
farmers and fishermen,7234,73,0.98866463920376,0.4697986577181208,0.958904109589041,0.6306306306306306,0.9901559627587025,0.7018890300301364,0.5036496350364964,0.9452054794520548,0.6571428571428571,0.6363636363636364,0.863013698630137,0.7325581395348837,0.9965815642576721,threshold_tuned,0.6363636363636364,0.863013698630137,0.7325581395348837
teachers and educators,7234,62,0.9926734863146254,0.5436893203883495,0.9032258064516129,0.6787878787878788,0.9805088786139649,0.6846743392465467,0.5714285714285714,0.9032258064516129,0.7,0.6857142857142857,0.7741935483870968,0.7272727272727273,0.9968136402820017,threshold_tuned,0.6857142857142857,0.7741935483870968,0.7272727272727273
journalists,7234,41,0.9917058335637269,0.3978494623655914,0.9024390243902439,0.5522388059701493,0.9828186617748285,0.6660530332758982,0.4186046511627907,0.8780487804878049,0.5669291338582677,0.6530612244897959,0.7804878048780488,0.7111111111111111,0.9972138732623722,threshold_tuned,0.6530612244897959,0.7804878048780488,0.7111111111111111
security forces,7234,238,0.962814487144042,0.4677754677754678,0.9453781512605042,0.6258692628650904,0.9787369493251846,0.6489208803951374,0.49015317286652077,0.9411764705882353,0.6446043165467625,0.6370106761565836,0.7521008403361344,0.6897880539499036,0.9972470394470555,threshold_tuned,0.6370106761565836,0.7521008403361344,0.6897880539499036
scientists and professors,7234,83,0.9821675421620127,0.38613861386138615,0.9397590361445783,0.5473684210526316,0.9793541386915302,0.5980724374666041,0.4095744680851064,0.927710843373494,0.5682656826568265,0.5576923076923077,0.6987951807228916,0.6203208556149733,0.9976659456040917,threshold_tuned,0.5576923076923077,0.6987951807228916,0.6203208556149733
legal professionals,7234,49,0.9867293337019629,0.3233082706766917,0.8775510204081632,0.4725274725274725,0.959467711928195,0.47791291812257847,0.38392857142857145,0.8775510204081632,0.5341614906832298,0.49382716049382713,0.8163265306122449,0.6153846153846154,0.9956652846004976,threshold_tuned,0.49382716049382713,0.8163265306122449,0.6153846153846154
soldiers,7234,77,0.9806469449820293,0.3492822966507177,0.948051948051948,0.5104895104895105,0.98175249369884,0.5566550840592405,0.3870967741935484,0.935064935064935,0.5475285171102662,0.4778761061946903,0.7012987012987013,0.5684210526315789,0.996613450627592,threshold_tuned,0.4778761061946903,0.7012987012987013,0.5684210526315789
other professions,7234,317,0.8762786839922588,0.23916967509025272,0.8359621451104101,0.3719298245614035,0.9175915964370688,0.4064065332181934,0.2759009009009009,0.7728706624605678,0.4066390041493776,0.3211538461538462,0.526813880126183,0.39904420549581837,0.9901172169090406,threshold_tuned,0.3211538461538462,0.526813880126183,0.39904420549581837
health and care professionals,7234,34,0.9799557644456732,0.1791907514450867,0.9117647058823529,0.2995169082125604,0.9912745098039215,0.27981486766690317,0.19375,0.9117647058823529,0.31958762886597936,0.20202020202020202,0.5882352941176471,0.3007518796992481,0.995485225601327,threshold_tuned,0.20202020202020202,0.5882352941176471,0.3007518796992481
