outlet,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
Liberation,4046,138,0.9713297083539298,0.544,0.9855072463768116,0.7010309278350515,0.9902105306098231,0.7963307139836023,0.5887445887445888,0.9855072463768116,0.7371273712737128,0.7078651685393258,0.9130434782608695,0.7974683544303798
SZ,9408,269,0.9750212585034014,0.5352697095435685,0.9591078066914498,0.6870838881491345,0.9891105605251566,0.814569183057657,0.5818181818181818,0.9516728624535316,0.7221438645980254,0.7246835443037974,0.8513011152416357,0.7829059829059829
Mediapart,5292,142,0.9693877551020408,0.46621621621621623,0.971830985915493,0.6301369863013698,0.9870490906604678,0.7942566616941839,0.5018181818181818,0.971830985915493,0.6618705035971223,0.664804469273743,0.8380281690140845,0.7414330218068536
Zeit,8218,301,0.9623996106108542,0.4931740614334471,0.9601328903654485,0.6516347237880497,0.9832011269747551,0.7497834565714426,0.5296296296296297,0.9501661129568106,0.6801426872770512,0.662303664921466,0.840531561461794,0.7408491947291361
Welt,8638,239,0.9692058346839546,0.4714587737843552,0.9330543933054394,0.6264044943820225,0.9848841339450154,0.7144737249513708,0.5115740740740741,0.9246861924686193,0.6587183308494784,0.6587837837837838,0.8158995815899581,0.7289719626168224
Parisien,12404,336,0.9697678168332796,0.47153284671532847,0.9613095238095238,0.6327130264446621,0.989506511711413,0.744048198375517,0.512,0.9523809523809523,0.6659729448491155,0.6507177033492823,0.8095238095238095,0.7214854111405835
FAZ,8218,205,0.9739596008761255,0.48872180451127817,0.9512195121951219,0.6456953642384106,0.9890102364146067,0.6575799070080303,0.5318559556786704,0.9365853658536586,0.6784452296819788,0.640926640926641,0.8097560975609757,0.7155172413793104
Bild,9128,286,0.9638475021910605,0.46283783783783783,0.958041958041958,0.6241457858769932,0.9853257181633115,0.683758266066548,0.49080882352941174,0.9335664335664335,0.6433734939759036,0.6128205128205129,0.8356643356643356,0.7071005917159763
Monde,10080,260,0.96875,0.44954128440366975,0.9423076923076923,0.6086956521739131,0.9811904668651105,0.6673031027582416,0.48785425101214575,0.926923076923077,0.6392572944297082,0.6357827476038339,0.7653846153846153,0.6945898778359512
Figaro,11718,350,0.9660351595835467,0.4661016949152542,0.9428571428571428,0.6238185255198487,0.9835685382527394,0.7033279334052336,0.4992272024729521,0.9228571428571428,0.6479438314944834,0.6161137440758294,0.7428571428571429,0.6735751295336787
Spiegel,8876,275,0.9639477242000901,0.4591651542649728,0.92,0.612590799031477,0.9829719588631343,0.7113931286841569,0.5060483870967742,0.9127272727272727,0.6511024643320363,0.6096096096096096,0.7381818181818182,0.6677631578947368
MondeDiplo,5250,97,0.9641904761904762,0.33210332103321033,0.9278350515463918,0.4891304347826087,0.9864056770052877,0.5286877982330085,0.3677685950413223,0.9175257731958762,0.5250737463126843,0.49640287769784175,0.711340206185567,0.5847457627118644
