lab,test,train,total,test_share,fold
athletes,74,293,367,0.2016348773841962,0
authors and artists,36,142,178,0.20224719101123595,0
doctors,14,54,68,0.20588235294117646,0
farmers and fishermen,15,58,73,0.2054794520547945,0
health and care professionals,7,27,34,0.20588235294117646,0
journalists,9,32,41,0.21951219512195122,0
legal professionals,10,39,49,0.20408163265306123,0
other professions,64,253,317,0.20189274447949526,0
politicians and high-ranking officials,257,1027,1284,0.20015576323987538,0
scientists and professors,17,66,83,0.20481927710843373,0
security forces,48,190,238,0.20168067226890757,0
sex workers,6,21,27,0.2222222222222222,0
soldiers,16,61,77,0.2077922077922078,0
teachers and educators,13,49,62,0.20967741935483872,0
athletes,74,293,367,0.2016348773841962,1
authors and artists,36,142,178,0.20224719101123595,1
doctors,14,54,68,0.20588235294117646,1
farmers and fishermen,15,58,73,0.2054794520547945,1
health and care professionals,7,27,34,0.20588235294117646,1
journalists,8,33,41,0.1951219512195122,1
legal professionals,10,39,49,0.20408163265306123,1
other professions,64,253,317,0.20189274447949526,1
politicians and high-ranking officials,257,1027,1284,0.20015576323987538,1
scientists and professors,17,66,83,0.20481927710843373,1
security forces,48,190,238,0.20168067226890757,1
sex workers,6,21,27,0.2222222222222222,1
soldiers,16,61,77,0.2077922077922078,1
teachers and educators,13,49,62,0.20967741935483872,1
athletes,73,294,367,0.1989100817438692,2
authors and artists,36,142,178,0.20224719101123595,2
doctors,14,54,68,0.20588235294117646,2
farmers and fishermen,15,58,73,0.2054794520547945,2
health and care professionals,7,27,34,0.20588235294117646,2
journalists,8,33,41,0.1951219512195122,2
legal professionals,10,39,49,0.20408163265306123,2
other professions,63,254,317,0.19873817034700317,2
politicians and high-ranking officials,257,1027,1284,0.20015576323987538,2
scientists and professors,17,66,83,0.20481927710843373,2
security forces,48,190,238,0.20168067226890757,2
sex workers,5,22,27,0.18518518518518517,2
soldiers,15,62,77,0.19480519480519481,2
teachers and educators,12,50,62,0.1935483870967742,2
athletes,73,294,367,0.1989100817438692,3
authors and artists,35,143,178,0.19662921348314608,3
doctors,13,55,68,0.19117647058823528,3
farmers and fishermen,14,59,73,0.1917808219178082,3
health and care professionals,7,27,34,0.20588235294117646,3
journalists,8,33,41,0.1951219512195122,3
legal professionals,10,39,49,0.20408163265306123,3
other professions,63,254,317,0.19873817034700317,3
politicians and high-ranking officials,257,1027,1284,0.20015576323987538,3
scientists and professors,16,67,83,0.1927710843373494,3
security forces,47,191,238,0.19747899159663865,3
sex workers,5,22,27,0.18518518518518517,3
soldiers,15,62,77,0.19480519480519481,3
teachers and educators,12,50,62,0.1935483870967742,3
athletes,73,294,367,0.1989100817438692,4
authors and artists,35,143,178,0.19662921348314608,4
doctors,13,55,68,0.19117647058823528,4
farmers and fishermen,14,59,73,0.1917808219178082,4
health and care professionals,6,28,34,0.17647058823529413,4
journalists,8,33,41,0.1951219512195122,4
legal professionals,9,40,49,0.1836734693877551,4
other professions,63,254,317,0.19873817034700317,4
politicians and high-ranking officials,256,1028,1284,0.19937694704049844,4
scientists and professors,16,67,83,0.1927710843373494,4
security forces,47,191,238,0.19747899159663865,4
sex workers,5,22,27,0.18518518518518517,4
soldiers,15,62,77,0.19480519480519481,4
teachers and educators,12,50,62,0.1935483870967742,4
