accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,year,n_pairs,n_pos_entail
0.9960474308300395,0.6666666666666666,0.5,0.5714285714285714,0.9960474308300395,0.9960474308300395,0.9960474308300395,0.7847215656613407,0.5694838343732275,0.005270092226613966,0.9188741721854304,0.6112244897959185,1995.0,759,4
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1996.0,15,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1997.0,15,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013888888888888888,1.0,1.0,1998.0,72,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03508771929824561,1.0,1.0,1999.0,57,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005813953488372093,1.0,1.0,2000.0,516,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018518518518518517,1.0,1.0,2001.0,54,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004728132387706856,1.0,1.0,2002.0,423,2
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2003.0,24,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2004.0,6,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06060606060606061,1.0,1.0,2005.0,33,2
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2006.0,12,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2007.0,33,0
0.996996996996997,0.0,0.0,0.0,0.996996996996997,0.996996996996997,0.996996996996997,0.4992481203007519,0.0,0.003003003003003003,1.0,1.0,2008.0,333,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05555555555555555,1.0,1.0,2009.0,18,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2010.0,27,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2011.0,33,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2012.0,9,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2013.0,21,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2014.0,18,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2015.0,126,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2016.0,228,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2017.0,60,0
0.991869918699187,1.0,0.5,0.6666666666666666,0.991869918699187,0.991869918699187,0.991869918699187,0.831275720164609,0.6630136986301369,0.016260162601626018,0.9669421487603306,0.6,2018.0,123,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027777777777777776,1.0,1.0,2019.0,36,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.044444444444444446,1.0,1.0,2020.0,45,2
0.9974747474747475,0.8571428571428571,1.0,0.9230769230769231,0.9974747474747475,0.9974747474747475,0.9974747474747475,0.9608966130147132,0.9218009478672986,0.015151515151515152,0.9995726495726496,0.976190476190476,2021.0,396,6
0.9979035639412998,0.75,1.0,0.8571428571428571,0.9979035639412998,0.9979035639412998,0.9979035639412998,0.9280434454668879,0.8561085972850679,0.006289308176100629,1.0,1.0,2022.0,477,3
0.9972677595628415,1.0,0.5,0.6666666666666666,0.9972677595628415,0.9972677595628415,0.9972677595628415,0.8326474622770919,0.6654478976234004,0.00546448087431694,0.9931318681318682,0.6428571428571428,2023.0,366,2
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,,3,0
