lab,test,train,total,test_share,fold
homeless,7,27,34,0.20588235294117646,0
real-estate owners,19,76,95,0.2,0
tenants,9,32,41,0.21951219512195122,0
homeless,7,27,34,0.20588235294117646,1
real-estate owners,19,76,95,0.2,1
tenants,8,33,41,0.1951219512195122,1
homeless,7,27,34,0.20588235294117646,2
real-estate owners,19,76,95,0.2,2
tenants,8,33,41,0.1951219512195122,2
homeless,7,27,34,0.20588235294117646,3
real-estate owners,19,76,95,0.2,3
tenants,8,33,41,0.1951219512195122,3
homeless,6,28,34,0.17647058823529413,4
real-estate owners,19,76,95,0.2,4
tenants,8,33,41,0.1951219512195122,4
