accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,year,n_pairs,n_pos_entail
0.9950592885375494,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.9950592885375494,0.9950592885375494,0.9950592885375494,0.8320889331342293,0.6642781316348195,0.008893280632411068,0.9933532735127949,0.7266640766640768,1995.0,1012,9
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1996.0,20,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1997.0,16,0
0.984375,0.0,0.0,0.0,0.984375,0.984375,0.984375,0.49606299212598426,0.0,0.0,,0.0,1998.0,64,0
0.9868421052631579,0.0,0.0,0.0,0.9868421052631579,0.9868421052631579,0.9868421052631579,0.4966887417218543,0.0,0.0,,0.0,1999.0,76,0
0.9986772486772487,1.0,0.5,0.6666666666666666,0.9986772486772487,0.9986772486772487,0.9986772486772487,0.8330019880715706,0.6660777385159011,0.0026455026455026454,0.9986737400530503,0.75,2000.0,756,2
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2001.0,56,0
0.9930555555555556,0.75,0.5,0.6,0.9930555555555556,0.9930555555555556,0.9930555555555556,0.7982486865148861,0.5966386554621849,0.010416666666666666,0.9845029239766082,0.6914650537634408,2002.0,576,6
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2003.0,24,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2004.0,4,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2005.0,48,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2006.0,20,0
0.9807692307692307,1.0,0.6666666666666666,0.8,0.9807692307692307,0.9807692307692307,0.9807692307692307,0.8949494949494949,0.7903225806451613,0.057692307692307696,0.9591836734693877,0.7777777777777777,2007.0,52,3
0.9935897435897436,0.8571428571428571,0.75,0.8,0.9935897435897436,0.9935897435897436,0.9935897435897436,0.898371335504886,0.7967573827446439,0.017094017094017096,0.9910326086956522,0.8728632478632479,2008.0,468,8
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2009.0,40,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2010.0,32,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2011.0,24,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027777777777777776,1.0,1.0,2012.0,36,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2013.0,20,0
0.9772727272727273,0.0,0.0,0.0,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.4942528735632184,0.0,0.022727272727272728,1.0,1.0,2014.0,44,1
0.9880952380952381,1.0,0.75,0.8571428571428571,0.9880952380952381,0.9880952380952381,0.9880952380952381,0.9254658385093167,0.851063829787234,0.047619047619047616,0.99765625,0.959375,2015.0,168,8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00423728813559322,1.0,1.0,2016.0,236,1
0.9761904761904762,0.5,0.25,0.3333333333333333,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.6606060606060606,0.32258064516129037,0.023809523809523808,0.8780487804878049,0.6163617886178862,2017.0,168,4
0.9913793103448276,0.0,0.0,0.0,0.9913793103448276,0.9913793103448276,0.9913793103448276,0.49783549783549785,0.0,0.008620689655172414,0.9652173913043478,0.2,2018.0,116,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013157894736842105,1.0,1.0,2019.0,76,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2020.0,64,0
0.993421052631579,0.6666666666666666,0.5,0.5714285714285714,0.993421052631579,0.993421052631579,0.993421052631579,0.7840568271507498,0.5681818181818181,0.008771929824561403,0.8595132743362832,0.6080729166666666,2021.0,456,4
0.9911347517730497,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.9911347517730497,0.9911347517730497,0.9911347517730497,0.80545015522594,0.6109271523178808,0.012411347517730497,0.9748653500897666,0.7013510682865521,2022.0,564,7
0.9799270072992701,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.9799270072992701,0.9799270072992701,0.9799270072992701,0.7557437497467483,0.5119818652849741,0.025547445255474453,0.968298555377207,0.5482232678196466,2023.0,548,14
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,,4,0
