outlet,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
Bild,2608,40,0.9681748466257669,0.30275229357798167,0.825,0.4429530201342282,0.9587227414330218,0.5104632310878703,0.4523809523809524,0.475,0.4634146341463415,0.4117647058823529,0.7,0.5185185185185185
Welt,2468,34,0.9716369529983793,0.3163265306122449,0.9117647058823529,0.4696969696969697,0.9856807965585577,0.40344982531825585,0.4,0.4117647058823529,0.4057971014492754,0.40350877192982454,0.6764705882352942,0.5054945054945055
FAZ,2348,33,0.9663543441226575,0.28703703703703703,0.9393939393939394,0.4397163120567376,0.9758622946527915,0.5130500660020719,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.37142857142857144,0.7878787878787878,0.5048543689320388
SZ,2688,28,0.9713541666666666,0.25742574257425743,0.9285714285714286,0.40310077519379844,0.9591165413533834,0.3735094417101539,0.39473684210526316,0.5357142857142857,0.45454545454545453,0.2878787878787879,0.6785714285714286,0.40425531914893614
Spiegel,2536,44,0.9542586750788643,0.25675675675675674,0.8636363636363636,0.3958333333333333,0.9645866773675763,0.32385541664571676,0.31666666666666665,0.4318181818181818,0.36538461538461536,0.28865979381443296,0.6363636363636364,0.3971631205673759
Monde,2880,54,0.9559027777777778,0.2732919254658385,0.8148148148148148,0.40930232558139534,0.9517968074231344,0.3400087149520671,0.27692307692307694,0.3333333333333333,0.3025210084033613,0.28846153846153844,0.5555555555555556,0.379746835443038
Liberation,1156,6,0.9636678200692042,0.125,1.0,0.2222222222222222,0.9894202898550725,0.3403636933242197,0.07692307692307693,0.16666666666666666,0.10526315789473684,0.2,1.0,0.3333333333333333
Parisien,3544,20,0.9822234762979684,0.21333333333333335,0.8,0.3368421052631579,0.9708711691259931,0.2749482226289236,0.25925925925925924,0.35,0.2978723404255319,0.23809523809523808,0.5,0.3225806451612903
Zeit,2348,17,0.9757240204429302,0.21428571428571427,0.8823529411764706,0.3448275862068966,0.9065788477553183,0.27047667503233624,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.1951219512195122,0.47058823529411764,0.27586206896551724
Mediapart,1512,14,0.9490740740740741,0.13793103448275862,0.8571428571428571,0.2376237623762376,0.864915124928476,0.22248559659609704,0.16129032258064516,0.35714285714285715,0.2222222222222222,0.16666666666666666,0.6428571428571429,0.2647058823529412
MondeDiplo,1500,13,0.94,0.1262135922330097,1.0,0.22413793103448276,0.9769799803424551,0.17523707936246363,0.13793103448275862,0.3076923076923077,0.19047619047619047,0.16071428571428573,0.6923076923076923,0.2608695652173913
Figaro,3348,39,0.9456391875746715,0.15458937198067632,0.8205128205128205,0.2601626016260163,0.9193652122029276,0.2756963150303196,0.21739130434782608,0.38461538461538464,0.2777777777777778,0.15966386554621848,0.48717948717948717,0.24050632911392406
