accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,year,n_pairs,n_pos_entail
0.9932249322493225,0.625,0.7142857142857143,0.6666666666666666,0.9932249322493225,0.9932249322493225,0.9932249322493225,0.8316221765913758,0.6632597189268115,0.009485094850948509,0.9196794997068595,0.7485506377194034,1995.0,738,7
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1996.0,15,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1997.0,6,0
0.9866666666666667,0.0,0.0,0.0,0.9866666666666667,0.9866666666666667,0.9866666666666667,0.4966442953020134,0.0,0.0,,0.0,1998.0,75,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1999.0,45,0
0.990990990990991,0.8571428571428571,0.9,0.8780487804878049,0.990990990990991,0.990990990990991,0.990990990990991,0.9366857560062972,0.8733744010951403,0.036036036036036036,0.9941121495327103,0.7906886324030287,2000.0,555,20
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2001.0,66,0
0.989247311827957,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.989247311827957,0.989247311827957,0.989247311827957,0.8049660263400722,0.6099647710115752,0.015053763440860216,0.972239550842171,0.6078910926471902,2002.0,465,7
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2003.0,42,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2004.0,12,0
0.8888888888888888,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.47058823529411764,0.0,0.1111111111111111,1.0,1.0,2005.0,9,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2006.0,9,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2007.0,36,0
0.9847094801223242,0.75,0.8181818181818182,0.782608695652174,0.9847094801223242,0.9847094801223242,0.9847094801223242,0.8873423826913802,0.7747002893757751,0.03363914373088685,0.9922324510932106,0.8666190566660787,2008.0,327,11
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,2009.0,9,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2010.0,33,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.041666666666666664,1.0,1.0,2011.0,24,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2012.0,21,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2013.0,15,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2014.0,42,0
0.9931972789115646,1.0,0.75,0.8571428571428571,0.9931972789115646,0.9931972789115646,0.9931972789115646,0.9268292682926829,0.853731343283582,0.027210884353741496,0.9982517482517482,0.95,2015.0,147,4
0.9922480620155039,1.0,0.6666666666666666,0.8,0.9922480620155039,0.9922480620155039,0.9922480620155039,0.8980237154150198,0.7962085308056872,0.023255813953488372,1.0,1.0,2016.0,129,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020833333333333332,1.0,1.0,2017.0,96,2
0.990990990990991,1.0,0.6666666666666666,0.8,0.990990990990991,0.990990990990991,0.990990990990991,0.8976958525345622,0.7955801104972375,0.02702702702702703,1.0,1.0,2018.0,111,3
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2019.0,42,0
0.9583333333333334,0.0,0.0,0.0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.48936170212765956,0.0,0.0,,0.0,2020.0,24,0
0.9874686716791979,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.9874686716791979,0.9874686716791979,0.9874686716791979,0.9041648652543595,0.808338937457969,0.03258145363408521,0.992626544440016,0.8629880353564563,2021.0,399,13
0.9790209790209791,0.6,0.75,0.6666666666666666,0.9790209790209791,0.9790209790209791,0.9790209790209791,0.8279181708784596,0.6559743384121892,0.027972027972027972,0.9894084732214228,0.8145950971686267,2022.0,429,12
0.9903381642512077,0.6666666666666666,0.4,0.5,0.9903381642512077,0.9903381642512077,0.9903381642512077,0.7475609756097561,0.4954296160877514,0.012077294685990338,0.9936430317848411,0.6745421245421246,2023.0,414,5
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,,3,0
