outlet,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
FAZ,1761,73,0.9772856331629756,0.6571428571428571,0.9452054794520548,0.7752808988764045,0.9672547555670974,0.792170812940165,0.8059701492537313,0.7397260273972602,0.7714285714285715,0.75,0.7397260273972602,0.7448275862068966
Liberation,867,7,0.986159169550173,0.3684210526315789,1.0,0.5384615384615384,0.9953488372093022,0.6236652236652237,0.4666666666666667,1.0,0.6363636363636364,0.4666666666666667,1.0,0.6363636363636364
SZ,2016,44,0.9776785714285714,0.49333333333333335,0.8409090909090909,0.6218487394957983,0.9484487368615159,0.5830648687660339,0.5660377358490566,0.6818181818181818,0.6185567010309279,0.5660377358490566,0.6818181818181818,0.6185567010309279
Parisien,2658,78,0.9699021820917983,0.49242424242424243,0.8333333333333334,0.6190476190476191,0.9562363347247069,0.5132595705197973,0.574468085106383,0.6923076923076923,0.627906976744186,0.5567010309278351,0.6923076923076923,0.6171428571428571
MondeDiplo,1125,10,0.9902222222222222,0.47619047619047616,1.0,0.6451612903225806,0.9970403587443947,0.6294749694749695,0.5454545454545454,0.6,0.5714285714285714,0.5454545454545454,0.6,0.5714285714285714
Bild,1956,67,0.9606339468302658,0.4609375,0.8805970149253731,0.6051282051282051,0.9630381707133997,0.5087961078135249,0.5180722891566265,0.6417910447761194,0.5733333333333334,0.5,0.6567164179104478,0.567741935483871
Figaro,2511,36,0.9828753484667463,0.4492753623188406,0.8611111111111112,0.5904761904761905,0.9473063973063973,0.5711036470979713,0.5,0.6388888888888888,0.5609756097560976,0.4897959183673469,0.6666666666666666,0.5647058823529412
Spiegel,1902,30,0.9742376445846478,0.36619718309859156,0.8666666666666667,0.5148514851485149,0.955840455840456,0.4304382145727336,0.4375,0.7,0.5384615384615384,0.42,0.7,0.525
Welt,1851,48,0.9702863317125878,0.45569620253164556,0.75,0.5669291338582677,0.9060246810870771,0.5208882260219934,0.4897959183673469,0.5,0.4948453608247423,0.47058823529411764,0.5,0.48484848484848486
Zeit,1761,33,0.9784213515048268,0.4576271186440678,0.8181818181818182,0.5869565217391305,0.9493020482603817,0.49961840152857945,0.41025641025641024,0.48484848484848486,0.4444444444444444,0.4146341463414634,0.5151515151515151,0.4594594594594595
Monde,2160,23,0.9796296296296296,0.3220338983050847,0.8260869565217391,0.4634146341463415,0.9427275131736893,0.4754384885276289,0.3611111111111111,0.5652173913043478,0.4406779661016949,0.3611111111111111,0.5652173913043478,0.4406779661016949
Mediapart,1134,4,0.9885361552028219,0.2,0.75,0.3157894736842105,0.9371681415929204,0.2940604198668714,0.3,0.75,0.42857142857142855,0.2727272727272727,0.75,0.4
