lab,test,train,total,test_share,fold
car drivers,5,16,21,0.23809523809523808,0
consumers and clients,68,268,336,0.20238095238095238,0
patients,20,76,96,0.20833333333333334,0
car drivers,4,17,21,0.19047619047619047,1
consumers and clients,67,269,336,0.19940476190476192,1
patients,19,77,96,0.19791666666666666,1
car drivers,4,17,21,0.19047619047619047,2
consumers and clients,67,269,336,0.19940476190476192,2
patients,19,77,96,0.19791666666666666,2
car drivers,4,17,21,0.19047619047619047,3
consumers and clients,67,269,336,0.19940476190476192,3
patients,19,77,96,0.19791666666666666,3
car drivers,4,17,21,0.19047619047619047,4
consumers and clients,67,269,336,0.19940476190476192,4
patients,19,77,96,0.19791666666666666,4
