accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,year,n_pairs,n_pos_entail
0.994579945799458,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.994579945799458,0.994579945799458,0.994579945799458,0.8319672131147541,0.6639344262295082,0.008130081300813009,0.9973246812386157,0.8151222651222653,1995.0,1476,12
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020833333333333332,1.0,1.0,1996.0,48,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333333333333,1.0,1.0,1997.0,30,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,1998.0,90,0
0.9888888888888889,1.0,0.5,0.6666666666666666,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.8305084745762712,0.6616541353383458,0.022222222222222223,0.5113636363636364,0.5113636363636364,1999.0,90,2
0.9990990990990991,0.6666666666666666,1.0,0.8,0.9990990990990991,0.9990990990990991,0.9990990990990991,0.8997742663656885,0.7995666305525461,0.0018018018018018018,0.9995487364620939,0.8333333333333333,2000.0,1110,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008333333333333333,1.0,1.0,2001.0,120,1
0.9954954954954955,0.8,0.5714285714285714,0.6666666666666666,0.9954954954954955,0.9954954954954955,0.9954954954954955,0.8321995464852607,0.6644624976383904,0.007882882882882882,0.868980055132155,0.6863946812173082,2002.0,888,7
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2003.0,60,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2004.0,24,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2005.0,36,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.018518518518518517,1.0,1.0,2006.0,54,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013888888888888888,1.0,1.0,2007.0,72,1
0.9947089947089947,0.8,0.5714285714285714,0.6666666666666666,0.9947089947089947,0.9947089947089947,0.9947089947089947,0.832,0.6640746500777605,0.009259259259259259,0.9979019645241274,0.8517316017316017,2008.0,756,7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,1.0,1.0,2009.0,30,2
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2010.0,36,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01282051282051282,1.0,1.0,2011.0,78,1
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2012.0,48,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2013.0,18,0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2014.0,66,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0043859649122807015,1.0,1.0,2015.0,228,1
0.9919354838709677,1.0,0.5,0.6666666666666666,0.9919354838709677,0.9919354838709677,0.9919354838709677,0.8312925170068026,0.6630434782608695,0.016129032258064516,0.8920765027322405,0.8374485596707818,2016.0,372,6
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.015151515151515152,1.0,1.0,2017.0,198,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.013157894736842105,1.0,1.0,2018.0,228,3
0.9666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8245614035087718,0.6491228070175439,0.05,0.9766081871345029,0.8095238095238095,2019.0,60,3
1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,0.0,,0.0,2020.0,102,0
0.9932249322493225,0.5,0.6,0.5454545454545454,0.9932249322493225,0.9932249322493225,0.9932249322493225,0.7710207880856345,0.5420699925539836,0.006775067750677507,0.9948158253751705,0.6466666666666667,2021.0,738,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002347417840375587,1.0,1.0,2022.0,852,2
0.9973958333333334,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9973958333333334,0.9973958333333334,0.9973958333333334,0.9279143983480382,0.8558287966960766,0.009114583333333334,0.9966209874225643,0.8564034309375924,2023.0,768,7
