outlet,n_pairs,n_pos_entail,accuracy,precision,recall,f1,roc_auc,pr_auc,precision_recalibrated,recall_recalibrated,f1_recalibrated,precision_threshold_tuned,recall_threshold_tuned,f1_threshold_tuned
Welt,3702,40,0.9710967044840627,0.2624113475177305,0.925,0.4088397790055249,0.9625955761878754,0.4144954524664117,0.4117647058823529,0.525,0.46153846153846156,0.4520547945205479,0.825,0.584070796460177
Monde,4320,39,0.9696759259259259,0.22289156626506024,0.9487179487179487,0.36097560975609755,0.9503530806964585,0.3962946939003533,0.36363636363636365,0.5128205128205128,0.425531914893617,0.4,0.8205128205128205,0.5378151260504201
Figaro,5022,50,0.9721226602947033,0.25274725274725274,0.92,0.39655172413793105,0.9558688656476267,0.4325579584892985,0.43859649122807015,0.5,0.4672897196261682,0.4044943820224719,0.72,0.5179856115107914
SZ,4032,35,0.9761904761904762,0.256,0.9142857142857143,0.4,0.962657707566389,0.4127498402638541,0.3488372093023256,0.42857142857142855,0.38461538461538464,0.38028169014084506,0.7714285714285715,0.5094339622641509
FAZ,3522,42,0.9611016467915957,0.22857142857142856,0.9523809523809523,0.3686635944700461,0.9585591133004926,0.32163665966425486,0.35,0.6666666666666666,0.45901639344262296,0.34615384615384615,0.8571428571428571,0.4931506849315068
Liberation,1734,18,0.9642445213379469,0.20270270270270271,0.8333333333333334,0.32608695652173914,0.941045066045066,0.3873383498530443,0.32,0.4444444444444444,0.37209302325581395,0.3548387096774194,0.6111111111111112,0.4489795918367347
Zeit,3522,24,0.9784213515048268,0.23469387755102042,0.9583333333333334,0.3770491803278688,0.9895773775490757,0.239459351756157,0.175,0.2916666666666667,0.21875,0.3,0.625,0.40540540540540543
Spiegel,3804,32,0.9713459516298633,0.20155038759689922,0.8125,0.32298136645962733,0.9471848488865323,0.23293881682515688,0.24,0.375,0.2926829268292683,0.2676056338028169,0.59375,0.36893203883495146
MondeDiplo,2250,22,0.9528888888888889,0.16666666666666666,0.9545454545454546,0.28378378378378377,0.9565856047005059,0.2672209672751911,0.2127659574468085,0.45454545454545453,0.2898550724637681,0.21311475409836064,0.5909090909090909,0.3132530120481928
Mediapart,2268,17,0.9598765432098766,0.1574074074074074,1.0,0.272,0.9866725899600178,0.3213567971198249,0.1951219512195122,0.47058823529411764,0.27586206896551724,0.18518518518518517,0.5882352941176471,0.28169014084507044
Bild,3912,10,0.9838957055214724,0.1044776119402985,0.7,0.18181818181818182,0.9907227063044592,0.2598278756264213,0.12,0.3,0.17142857142857143,0.13333333333333333,0.4,0.2
Parisien,5316,10,0.9808126410835214,0.049019607843137254,0.5,0.08928571428571429,0.7572747832642291,0.12262106675365285,0.16,0.4,0.22857142857142856,0.1111111111111111,0.4,0.17391304347826086
