lab,test,train,total,test_share,fold
"capital owners, investors and shareholders",34,132,166,0.20481927710843373,0
lower class,12,45,57,0.21052631578947367,0
middle class,5,19,24,0.20833333333333334,0
skilled or qualified,8,28,36,0.2222222222222222,0
unskilled or unqualified,5,20,25,0.2,0
upper class,7,24,31,0.22580645161290322,0
"capital owners, investors and shareholders",33,133,166,0.19879518072289157,1
lower class,12,45,57,0.21052631578947367,1
middle class,5,19,24,0.20833333333333334,1
skilled or qualified,7,29,36,0.19444444444444445,1
unskilled or unqualified,5,20,25,0.2,1
upper class,6,25,31,0.1935483870967742,1
"capital owners, investors and shareholders",33,133,166,0.19879518072289157,2
lower class,11,46,57,0.19298245614035087,2
middle class,5,19,24,0.20833333333333334,2
skilled or qualified,7,29,36,0.19444444444444445,2
unskilled or unqualified,5,20,25,0.2,2
upper class,6,25,31,0.1935483870967742,2
"capital owners, investors and shareholders",33,133,166,0.19879518072289157,3
lower class,11,46,57,0.19298245614035087,3
middle class,5,19,24,0.20833333333333334,3
skilled or qualified,7,29,36,0.19444444444444445,3
unskilled or unqualified,5,20,25,0.2,3
upper class,6,25,31,0.1935483870967742,3
"capital owners, investors and shareholders",33,133,166,0.19879518072289157,4
lower class,11,46,57,0.19298245614035087,4
middle class,4,20,24,0.16666666666666666,4
skilled or qualified,7,29,36,0.19444444444444445,4
unskilled or unqualified,5,20,25,0.2,4
upper class,6,25,31,0.1935483870967742,4
