hypothesis_label,folds_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,N_total
CEOs and corporate leaders,5,0.937,0.008,0.927,0.948,1,0,1,1,0.487,0.079,0.375,0.588,0.652,0.073,0.545,0.741,84
Ethnic and racial minorities,4,0.988,0.007,0.981,0.994,0.75,0.5,0,1,0.417,0.354,0,0.75,0.514,0.399,0,0.857,14
athletes,5,0.969,0.006,0.96,0.975,0.952,0.013,0.939,0.967,0.806,0.055,0.726,0.863,0.872,0.028,0.828,0.9,366
authors and artists,5,0.981,0.004,0.977,0.986,0.908,0.061,0.833,0.966,0.798,0.112,0.686,0.972,0.843,0.041,0.787,0.897,179
"capital owners, investors and shareholders",5,0.92,0.031,0.892,0.97,1,0,1,1,0.835,0.064,0.781,0.939,0.909,0.037,0.877,0.969,164
car drivers,5,0.984,0.02,0.951,1,0.9,0.224,0.5,1,0.69,0.344,0.2,1,0.762,0.299,0.286,1,21
christians,4,0.978,0.008,0.969,0.987,0.831,0.138,0.667,1,0.643,0.143,0.571,0.857,0.717,0.104,0.615,0.857,28
cisgender and heterosexuals,4,0.997,0.006,0.988,1,1,0,1,1,0.875,0.25,0.5,1,0.917,0.167,0.667,1,16
civil servants,5,0.971,0.005,0.963,0.978,0.913,0.081,0.833,1,0.644,0.064,0.556,0.7,0.754,0.057,0.667,0.824,48
consumers and clients,5,0.889,0.027,0.851,0.913,0.996,0.008,0.981,1,0.836,0.035,0.791,0.866,0.909,0.023,0.876,0.928,335
couples,5,0.986,0.007,0.976,0.994,0.848,0.032,0.8,0.875,0.804,0.165,0.571,1,0.82,0.104,0.667,0.933,36
disabled people,4,0.989,0.003,0.987,0.994,1,0,1,1,0.732,0.071,0.667,0.833,0.844,0.046,0.8,0.909,26
doctors,5,0.996,0.003,0.991,1,0.924,0.078,0.833,1,0.896,0.087,0.769,1,0.908,0.073,0.8,1,68
drug addicts,5,0.991,0.021,0.954,1,1,0,1,1,0.85,0.335,0.25,1,0.88,0.268,0.4,1,23
elderly,5,0.976,0.011,0.964,0.988,0.804,0.165,0.556,1,0.624,0.325,0.143,0.857,0.635,0.253,0.25,0.857,34
employers,5,0.978,0.009,0.971,0.993,0.912,0.063,0.846,1,0.866,0.083,0.769,1,0.885,0.047,0.846,0.966,68
entrepreneurs (SMEs),5,0.905,0.026,0.874,0.936,0.675,0.429,0,1,0.268,0.237,0,0.583,0.368,0.292,0,0.7,59
entrepreneurs (large enterprises),5,0.863,0.04,0.821,0.905,0.972,0.044,0.9,1,0.612,0.118,0.469,0.75,0.746,0.09,0.638,0.842,160
entrepreneurs in [specific] sector,5,0.638,0.087,0.526,0.768,0.873,0.082,0.745,0.943,0.585,0.105,0.485,0.75,0.696,0.082,0.609,0.823,340
extremists,5,0.906,0.029,0.864,0.939,0.915,0.086,0.8,1,0.563,0.185,0.25,0.692,0.675,0.163,0.4,0.8,62
farmers and fishermen,5,0.992,0.003,0.988,0.995,0.954,0.043,0.917,1,0.744,0.127,0.533,0.867,0.829,0.081,0.696,0.897,74
health and care professionals,5,0.99,0.002,0.987,0.993,0.76,0.277,0.333,1,0.319,0.181,0.143,0.571,0.428,0.201,0.222,0.667,34
homeless,5,0.938,0.075,0.808,1,1,0,1,1,0.767,0.277,0.286,1,0.84,0.224,0.444,1,34
housewife and househusband,5,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,21
jews,4,0.991,0.004,0.988,0.994,0.964,0.071,0.857,1,0.821,0.071,0.714,0.857,0.884,0.046,0.833,0.923,28
journalists,5,0.996,0.003,0.991,0.998,0.927,0.163,0.636,1,0.853,0.058,0.75,0.889,0.88,0.087,0.737,0.941,41
legal professionals,5,0.993,0.002,0.991,0.995,0.903,0.092,0.8,1,0.673,0.083,0.6,0.8,0.767,0.057,0.706,0.824,49
