accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4,0.0,1.0,1.0,Bild,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,FAZ,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Figaro,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Liberation,6,3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Mediapart,3,1
0.9333333333333333,1.0,0.8,0.8888888888888888,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9206349206349206,0.8421052631578947,0.9,0.8999999999999999,Monde,15,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,MondeDiplo,6,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Parisien,6,3
0.9333333333333333,0.8333333333333334,1.0,0.9090909090909091,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9282296650717703,0.8571428571428572,1.0,1.0,SZ,15,5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Spiegel,9,3
0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,-0.5,0.5,0.5,Welt,3,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Zeit,6,2
