accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,outlet,n_pairs,n_pos_entail
0.875,0.875,0.6363636363636364,0.7368421052631579,0.875,0.875,0.875,0.8274374460742019,0.6575342465753424,0.275,0.9717868338557993,0.9121683871683872,Bild,40,11
0.9583333333333334,1.0,0.8333333333333334,0.9090909090909091,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.941031941031941,0.8823529411764706,0.25,0.9907407407407407,0.9761904761904762,FAZ,24,6
0.8333333333333334,1.0,0.42857142857142855,0.6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7473684210526316,0.5151515151515151,0.2916666666666667,0.8487394957983193,0.7725649350649351,Figaro,24,7
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,Mediapart,8,2
0.8333333333333334,0.8333333333333334,0.4166666666666667,0.5555555555555556,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7264957264957266,0.4666666666666667,0.25,0.8449074074074074,0.7216262943255353,Monde,48,12
0.875,1.0,0.5,0.6666666666666666,0.875,0.875,0.875,0.7948717948717949,0.6,0.25,0.9166666666666667,0.8333333333333333,MondeDiplo,8,2
0.85,1.0,0.4,0.5714285714285714,0.85,0.85,0.85,0.7402597402597402,0.5,0.25,1.0,1.0,Parisien,20,5
0.9,1.0,0.6666666666666666,0.8,0.9,0.9,0.9,0.8666666666666667,0.736842105263158,0.3,0.9523809523809524,0.9107142857142856,SZ,20,6
0.8888888888888888,0.8571428571428571,0.6666666666666666,0.75,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8392857142857143,0.6799999999999999,0.25,0.9218106995884774,0.8699294532627866,Spiegel,36,9
0.875,1.0,0.5714285714285714,0.7272727272727273,0.875,0.875,0.875,0.8230958230958232,0.6538461538461537,0.2916666666666667,0.9243697478991596,0.8833333333333334,Welt,24,7
0.9166666666666666,1.0,0.6666666666666666,0.8,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.8736842105263158,0.75,0.25,0.8148148148148148,0.7916666666666666,Zeit,12,3
