model,fold,hypothesis_label,accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,n_pairs,n_pos_entail
identities,0,Ethnic and racial minorities,0.98757764,1,0.5,0.666666667,0.98757764,0.98757764,0.98757764,0.830168776,0.661052632,0.02484472,0.987261146,0.778409091,161,4
identities,0,christians,0.98757764,1,0.714285714,0.833333333,0.98757764,0.98757764,0.98757764,0.91344086,0.827067669,0.043478261,0.994434137,0.920068027,161,7
identities,0,cisgender and heterosexuals,0.98757764,1,0.5,0.666666667,0.98757764,0.98757764,0.98757764,0.830168776,0.661052632,0.02484472,0.996815287,0.916666667,161,4
identities,0,disabled people,0.97515528,1,0.428571429,0.6,0.97515528,0.97515528,0.97515528,0.793589744,0.589285714,0.043478261,0.990723562,0.880952381,161,7
identities,0,jews,0.99378882,1,0.857142857,0.923076923,0.99378882,0.99378882,0.99378882,0.959920339,0.919860627,0.043478261,0.999072356,0.982142857,161,7
identities,0,lgbtqqia+,0.956521739,0.785714286,0.733333333,0.75862069,0.956521739,0.956521739,0.956521739,0.867364952,0.73476112,0.093167702,0.954794521,0.859393939,161,15
identities,0,men,0.919254658,0.9375,0.555555556,0.697674419,0.919254658,0.919254658,0.919254658,0.825539718,0.654563459,0.167701863,0.907960199,0.828770451,161,27
identities,0,multiple (or other specific) religious or minority groups,0.98136646,0,0,0,0.98136646,0.98136646,0.98136646,0.495297806,0,0.01863354,0.934599156,0.53125,161,3
identities,0,muslims,0.98757764,1,0.714285714,0.833333333,0.98757764,0.98757764,0.98757764,0.91344086,0.827067669,0.043478261,1,1,161,7
identities,0,"people with an immigration background, including immigrants",0.931677019,1,0.75,0.857142857,0.931677019,0.931677019,0.931677019,0.906122449,0.813441483,0.273291925,0.981546232,0.97438921,161,44
identities,0,women,0.888198758,0.944444444,0.772727273,0.85,0.888198758,0.888198758,0.888198758,0.880445545,0.76230315,0.409937888,0.913476874,0.918788407,161,66
identities,1,Ethnic and racial minorities,0.99382716,1,0.75,0.857142857,0.99382716,0.99382716,0.99382716,0.926994142,0.854054054,0.024691358,0.996835443,0.916666667,162,4
identities,1,christians,0.969135802,0.75,0.428571429,0.545454545,0.969135802,0.969135802,0.969135802,0.764740052,0.530706837,0.043209877,0.974193548,0.651162244,162,7
identities,1,cisgender and heterosexuals,1,1,1,1,1,1,1,1,1,0.030864198,1,1,162,5
identities,1,disabled people,1,1,1,1,1,1,1,1,1,0.043209877,1,1,162,7
identities,1,jews,0.981481481,1,0.571428571,0.727272727,0.981481481,0.981481481,0.981481481,0.858844031,0.718424102,0.043209877,0.955760369,0.875324675,162,7
identities,1,lgbtqqia+,0.944444444,0.75,0.6,0.666666667,0.944444444,0.944444444,0.944444444,0.818181818,0.6367713,0.092592593,0.970521542,0.711434557,162,15
identities,1,men,0.950617284,0.913043478,0.777777778,0.84,0.950617284,0.950617284,0.950617284,0.90540146,0.811023622,0.166666667,0.925102881,0.879557602,162,27
identities,1,multiple (or other specific) religious or minority groups,0.981481481,0,0,0,0.981481481,0.981481481,0.981481481,0.495327103,0,0.018518519,0.932914046,0.695238095,162,3
identities,1,muslims,0.99382716,0.875,1,0.933333333,0.99382716,0.99382716,0.99382716,0.965048544,0.930112166,0.043209877,0.999078341,0.982142857,162,7
identities,1,"people with an immigration background, including immigrants",0.932098765,0.971428571,0.772727273,0.860759494,0.932098765,0.932098765,0.932098765,0.907930767,0.816628936,0.271604938,0.979198767,0.966912033,162,44
identities,1,women,0.925925926,0.93442623,0.876923077,0.904761905,0.925925926,0.925925926,0.925925926,0.922077922,0.844255728,0.401234568,0.943061063,0.918367083,162,65
