category,label,n_pos_train,n_words,top_words
socio_economic_position,lower class,61,17,"mendiants, armen, modestes, pauvres, difficulté, revenus, familles, arbeiter, ménages, sociaux"
socio_economic_position,middle class,21,5,"moyennes, classes, couches, moyenne, classe"
socio_economic_position,upper class,36,7,"oberschicht, fortunes, riches, pauvres, familien, grandes, pen"
socio_economic_position,"capital owners, investors and shareholders",135,20,"actionnaires, investoren, anleger, investisseurs, aktionäre, sponsoren, aktien, aktionären, aktie, transaktionen"
socio_economic_position,unskilled or unqualified,18,3,"qualifizierte, qualifiés, gering"
socio_economic_position,skilled or qualified,36,3,"absolventen, akademiker, wohnen"
labor_market_position,wage and salary earners,368,20,"salariés, syndicats, mitarbeiter, cgt, arbeitnehmer, syndicat, gewerkschaft, mitarbeitern, personal, employés"
labor_market_position,civil servants,37,3,"fonctionnaires, beamten, hauts"
labor_market_position,CEOs and corporate leaders,208,20,"banques, banken, dirigeants, bancaires, fmi, multinationales, emittenten, firmes, sauvetage, managern"
labor_market_position,employers,58,18,"arbeitgeber, patronat, employeurs, patrons, arbeitgebern, arbeitnehmer, syndicales, salaires, employés, représentants"
labor_market_position,entrepreneurs,376,20,"banken, commerçants, constructeurs, industrie, artisans, händler, bank, branche, händlern, sewing"
labor_market_position,self-employed and freelancers,13,2,"entrepreneurs, selbständige"
labor_market_position,unemployed,46,20,"chômeurs, arbeitslose, arbeitslosen, arbeitslos, février, résultats, mars, attendus, attendue, demandeurs"
labor_market_position,retirees,15,2,"senioren, retraités"
labor_market_position,housewives and househusbands,17,5,"foyer, hausfrau, hausmänner, femmes, travail"
age_and_family_status,parents and families,171,20,"familles, eltern, parents, familien, famille, mütter, angehörige, angehörigen, renaud, söhne"
age_and_family_status,"minors, including children and pupils",310,20,"enfants, kinder, ans, mädchen, élèves, kindern, filles, invité, stage, avril"
age_and_family_status,"youth, including students and apprentices",289,20,"jeunes, étudiants, jungen, junge, studenten, jugendlichen, jeunesse, jugendliche, jugend, équitation"
age_and_family_status,middle-aged and pre-retirement age groups,17,6,"ältere, arbeitslose, ans, hält, nombre, femmes"
age_and_family_status,elderly,29,14,"âgées, salle, ouverture, portes, vieux, leuten, école, heures, kampf, parents"
age_and_family_status,couples,30,9,"couples, lebensgemeinschaften, pma, époux, couple, célibataires, millions, enfants, femmes"
age_and_family_status,singles,21,3,"célibataires, singles, femmes"
identities,men,118,20,"männer, männern, hommes, frauen, jungs, garçons, tromper, sex, mädchen, jungen"
identities,women,281,20,"frauen, femmes, mädchen, trans, frau, filles, foyer, mütter, sexarbeiterinnen, männer"
identities,cisgender and heterosexuals,14,6,"cis, hétérosexuels, couples, trans, frauen, frau"
identities,LGBTQIA+,60,17,"trans, personen, frauen, schwule, geri, schwarzer, frau, cis, geschlecht, sexe"
identities,disabled people,27,9,"handicapés, behinderte, renaud, blinde, sociale, famille, député, kinder, leben"
identities,"people with an immigration background, including immigrants",223,20,"flüchtlinge, réfugiés, migranten, ausländer, migrants, flüchtlingen, invité, asylbewerber, flüchtlingspolitik, immigrés"
identities,Ethnic and racial minorities,27,6,"karen, schwarzen, tchétchène, noirs, schwarze, population"
identities,Christians,33,6,"chrétiens, evangelikale, katholischen, catholiques, bush, membres"
identities,Jews,31,6,"juifs, juive, juden, synagogue, communauté, étudiants"
identities,Muslims,45,9,"musulmans, islamistes, islamique, mohajirs, caire, fin, conseil, français, frauen"
identities,multiple (or other) religious or minority groups,17,3,"penang, minorités, pilger"
profession,athletes,351,20,"joueurs, spieler, trainer, mannschaft, spielern, invité, athleten, spiele, spiel, coureurs"
profession,authors and artists,157,20,"artistes, künstler, musiciens, sänger, schauspieler, autoren, écrivains, danseurs, oeuvres, danseuses"
profession,doctors,48,7,"ärzte, médecins, zahnärzte, niedersächsischen, grève, ordre, part"
profession,farmers and fishermen,62,20,"bauern, invité, landwirte, obstbauern, landwirten, agriculteurs, asthma, josse, viticulteurs, schlechten"
profession,health and care professionals,30,5,"pflegekräfte, trauma, grève, santé, prozent"
profession,journalists,41,4,"journalistes, journalisten, gazprom, sagen"
profession,legal professionals,42,6,"juges, anwälte, richter, karlsruher, magistrats, jeunes"
profession,politicians and high-ranking officials,1175,20,"spd, cdu, csu, parti, grünen, politiker, gauche, partei, ps, rpr"
profession,sex workers,23,6,"sexarbeiterinnen, prostituées, prostitué, travailleuses, prostituierte, sexe"
profession,scientists and professors,82,20,"chercheurs, forscher, wissenschaftler, ökonomen, économistes, scientifiques, wissenschaftlern, scientifique, virus, dr"
profession,security forces,211,20,"policiers, ermittler, gendarmes, polizisten, invité, police, beamten, gendarmerie, ermittlern, beamte"
