category,label,n_pos_train,n_words,top_words
socio_economic_position,lower class,61,17,"pauvres, armen, revenus, familles, modestes, difficulté, arbeiter, ménages, sociaux, opfer"
socio_economic_position,middle class,21,5,"classes, moyennes, moyenne, couches, classe"
socio_economic_position,upper class,36,7,"riches, pauvres, familien, grandes, pen, oberschicht, fortunes"
socio_economic_position,"capital owners, investors and shareholders",135,20,"aktien, yens, aktie, private, fusion, equity, kaufen, bank, euro, zertifikate"
socio_economic_position,unskilled or unqualified,18,3,"qualifiés, gering, qualifizierte"
socio_economic_position,skilled or qualified,36,3,"wohnen, absolventen, akademiker"
labor_market_position,wage and salary earners,368,20,"mitarbeiter, syndicat, travail, grève, travailleurs, syndicats, personal, personnel, chômage, mitarbeitern"
labor_market_position,civil servants,37,3,"beamten, fonctionnaires, hauts"
labor_market_position,CEOs and corporate leaders,208,20,"banken, dirigeants, banques, chefs, bank, management, emittenten, entreprise, markt, krankenkassen"
labor_market_position,employers,58,18,"patrons, arbeitgeber, employeurs, arbeitnehmer, syndicales, salaires, employés, salariés, représentants, conflit"
labor_market_position,entrepreneurs,376,20,"industrie, banken, bank, branche, marché, start, produits, secteur, händler, yens"
labor_market_position,self-employed and freelancers,13,2,"entrepreneurs, selbständige"
labor_market_position,unemployed,46,20,"résultats, février, mars, emploi, mois, million, attendus, emplois, jeunes, job"
labor_market_position,retirees,15,2,"retraités, senioren"
labor_market_position,housewives and househusbands,17,5,"femmes, foyer, travail, hausmänner, hausfrau"
age_and_family_status,parents and families,171,20,"familles, parents, familien, famille, eltern, familie, salle, angehörige, kinder, kindern"
age_and_family_status,"minors, including children and pupils",310,20,"enfants, ans, kinder, élèves, mädchen, avril, kindern, filles, petits, stage"
age_and_family_status,"youth, including students and apprentices",289,20,"jeunes, jungen, junge, étudiants, jeunesse, studenten, jugendlichen, sports, violence, vacances"
age_and_family_status,middle-aged and pre-retirement age groups,17,6,"ans, arbeitslose, ältere, hält, nombre, femmes"
age_and_family_status,elderly,29,14,"salle, âgées, portes, ouverture, vieux, leuten, heures, école, kampf, parents"
age_and_family_status,couples,30,9,"couples, couple, célibataires, lebensgemeinschaften, époux, millions, enfants, femmes, pma"
age_and_family_status,singles,21,3,"femmes, célibataires, singles"
identities,men,118,20,"männer, frauen, hommes, jungen, männern, mädchen, trans, filles, femmes, garçons"
identities,women,281,20,"frauen, femmes, frau, trans, mädchen, männer, filles, iran, leben, foyer"
identities,cisgender and heterosexuals,14,6,"trans, frauen, couples, hétérosexuels, frau, cis"
identities,LGBTQIA+,60,17,"trans, frauen, personen, frau, schwarzer, cis, couples, hamam, sexe, détenus"
identities,disabled people,27,9,"handicapés, sociale, kinder, famille, député, leben, behinderte, renaud, blinde"
identities,"people with an immigration background, including immigrants",223,20,"flüchtlinge, réfugiés, ausländer, migranten, asylbewerber, étrangers, bayern, immigration, klassen, politischen"
identities,Ethnic and racial minorities,27,6,"noirs, schwarze, tchétchène, population, schwarzen, karen"
identities,Christians,33,6,"chrétiens, bush, catholiques, membres, evangelikale, katholischen"
identities,Jews,31,6,"juifs, juive, synagogue, juden, communauté, étudiants"
identities,Muslims,45,9,"musulmans, islamique, caire, islamistes, fin, conseil, français, frauen, mohajirs"
identities,multiple (or other) religious or minority groups,17,3,"pilger, minorités, penang"
profession,athletes,351,20,"spieler, joueurs, trainer, spiel, team, spielen, mannschaft, münchner, athleten, sportifs"
profession,authors and artists,157,20,"künstler, autoren, schauspieler, kunst, sänger, schriftsteller, arts, pop, danseurs, musik"
profession,doctors,48,7,"niedersächsischen, grève, ordre, part, ärzte, médecins, zahnärzte"
profession,farmers and fishermen,62,20,"producteurs, paysans, schlechten, saint, jean, marins, info, agriculteurs, mineurs, ministre"
profession,health and care professionals,30,5,"grève, trauma, santé, prozent, pflegekräfte"
profession,journalists,41,4,"journalisten, gazprom, sagen, journalistes"
profession,legal professionals,42,6,"richter, anwälte, juges, karlsruher, magistrats, jeunes"
profession,politicians and high-ranking officials,1175,20,"parti, gauche, opposition, politiker, grünen, élus, majorité, partei, ps, politiques"
profession,sex workers,23,6,"sexe, travailleuses, prostituierte, sexarbeiterinnen, prostituées, prostitué"
profession,scientists and professors,82,20,"forscher, wissenschaftler, chercheurs, économistes, scientifiques, region, virus, dr, drittel, données"
profession,security forces,211,20,"policiers, ermittler, police, beamten, polizisten, forces, agents, enquêteurs, polizei, bundespolizei"
profession,soldiers,135,20,"militaires, troupes, russes, soldats, bosnie, visite, armee, armée, israelischen, serbes"
profession,teachers and educators,52,20,"lehrer, enseignants, bildung, maternelles, eltern, pflege, parents, assistantes, bezahlung, école"
profession,other professions,265,20,"experten, analystes, experts, pompiers, kritiker, berater, piloten, interrogent, estiment, lorraine"
social_roles_and_behavior,consumers and clients,290,20,"visiteurs, clients, millions, gäste, spectateurs, bank, février, consommateurs, mars, résultats"
social_roles_and_behavior,car drivers,20,4,"voiture, automobilistes, autofahrer, conducteurs"
social_roles_and_behavior,patients,78,20,"patienten, studie, patients, masin, maladies, stiftung, médicaments, behandlung, diabetes, deutschland"
social_deviance,extremists,60,15,"extrémistes, nationalistes, musulmans, islamistes, nazis, corelli, organisations, waffen, violence, gruppe"
social_deviance,"terrorists, rebels, revolutionaries and/or movements of armed resistance",162,20,"al, hamas, tchétchènes, israel, saboteure, islamique, mouvement, attentat, terroristen, corelli"
social_deviance,"offenders, criminals, prisoners and/or accused people",161,20,"täter, détenus, violence, kriminelle, anklage, bandes, info, prévenus, prison, innenminister"
social_deviance,drug addicts,20,2,"drogue, toxicomanes"
real_estate_ownership,real-estate owners,69,20,"propriétaires, privés, travaux, bailleurs, logement, locataires, mieter, occupants, hausbesitzer, eigentümer"
real_estate_ownership,tenants,33,10,"propriétaires, travaux, bailleurs, eau, logements, wohnungsmieter, cdu, locataires, mieter, mietern"
real_estate_ownership,homeless,31,6,"abri, logements, enfants, sdf, obdachlose, wohnungslose"
