category,label,n_pos_train,n_words,top_words
socio_economic_position,lower class,61,14,"pauvres, armen, revenus, modestes, familles, difficulté, arbeiter, ménages, sociaux, opfer"
socio_economic_position,middle class,21,5,"classes, moyennes, couches, moyenne, classe"
socio_economic_position,upper class,36,5,"riches, pauvres, familien, grandes, pen"
socio_economic_position,"capital owners, investors and shareholders",135,20,"aktien, yens, aktie, private, fusion, equity, kaufen, bank, euro, zertifikate"
socio_economic_position,unskilled or unqualified,18,2,"qualifiés, gering"
socio_economic_position,skilled or qualified,36,2,"wohnen, absolventen"
labor_market_position,wage and salary earners,368,20,"mitarbeiter, syndicat, travail, grève, travailleurs, syndicats, personal, salariés, personnel, chômage"
labor_market_position,civil servants,37,3,"beamten, fonctionnaires, hauts"
labor_market_position,CEOs and corporate leaders,208,20,"banken, dirigeants, banques, chefs, management, bank, emittenten, entreprise, markt, krankenkassen"
labor_market_position,employers,58,16,"patrons, arbeitgeber, employeurs, arbeitnehmer, syndicales, salaires, employés, salariés, représentants, conflit"
labor_market_position,entrepreneurs,376,20,"banken, industrie, bank, branche, marché, start, händler, produits, secteur, hersteller"
labor_market_position,self-employed and freelancers,13,2,"entrepreneurs, selbständige"
labor_market_position,unemployed,46,20,"résultats, février, mars, emploi, mois, attendus, million, emplois, job, statistik"
labor_market_position,retirees,15,1,retraités
labor_market_position,housewives and househusbands,17,3,"foyer, femmes, travail"
age_and_family_status,parents and families,171,20,"familles, parents, familien, famille, eltern, familie, salle, angehörige, kinder, kindern"
age_and_family_status,"minors, including children and pupils",310,20,"enfants, ans, kinder, élèves, mädchen, avril, kindern, filles, petits, stage"
age_and_family_status,"youth, including students and apprentices",289,20,"jeunes, jungen, junge, étudiants, jeunesse, studenten, jugendlichen, sports, violence, vacances"
age_and_family_status,middle-aged and pre-retirement age groups,17,6,"ans, arbeitslose, ältere, hält, nombre, femmes"
age_and_family_status,elderly,29,14,"salle, âgées, ouverture, portes, leuten, vieux, heures, école, kampf, parents"
age_and_family_status,couples,30,8,"couples, couple, célibataires, lebensgemeinschaften, époux, millions, enfants, femmes"
age_and_family_status,singles,21,2,"femmes, célibataires"
identities,men,118,20,"männer, hommes, frauen, männern, jungen, mädchen, trans, filles, garçons, jungs"
identities,women,281,20,"frauen, femmes, frau, trans, mädchen, männer, filles, iran, leben, foyer"
identities,cisgender and heterosexuals,14,6,"trans, couples, frauen, hétérosexuels, frau, cis"
identities,LGBTQIA+,60,14,"trans, frauen, personen, frau, schwarzer, cis, couples, hamam, sexe, geschlecht"
identities,disabled people,27,6,"handicapés, sociale, kinder, famille, député, leben"
identities,"people with an immigration background, including immigrants",223,20,"flüchtlinge, réfugiés, ausländer, migranten, asylbewerber, étrangers, bayern, immigration, klassen, politischen"
identities,Ethnic and racial minorities,27,6,"noirs, tchétchène, schwarze, karen, schwarzen, population"
identities,Christians,33,4,"chrétiens, bush, catholiques, membres"
identities,Jews,31,6,"juifs, juive, synagogue, juden, communauté, étudiants"
identities,Muslims,45,8,"musulmans, islamique, islamistes, caire, fin, conseil, français, frauen"
identities,multiple (or other) religious or minority groups,17,2,"pilger, minorités"
profession,athletes,351,20,"spieler, joueurs, trainer, spiel, team, spielen, mannschaft, münchner, athleten, sportifs"
