category,label,support,tp,fp,fn,tn,precision,recall,f1
socio_economic_position,lower class,12,2,98,10,1818,0.02,0.167,0.036
socio_economic_position,middle class,6,1,6,5,1916,0.143,0.167,0.154
socio_economic_position,upper class,8,0,24,8,1896,0.0,0.0,0.0
socio_economic_position,"capital owners, investors and shareholders",48,35,5,13,1875,0.875,0.729,0.795
socio_economic_position,unskilled or unqualified,8,2,0,6,1920,1.0,0.25,0.4
socio_economic_position,skilled or qualified,10,2,4,8,1914,0.333,0.2,0.25
labor_market_position,wage and salary earners,91,54,21,37,1816,0.72,0.593,0.651
labor_market_position,civil servants,15,6,10,9,1903,0.375,0.4,0.387
labor_market_position,CEOs and corporate leaders,49,19,13,30,1866,0.594,0.388,0.469
labor_market_position,employers,12,8,90,4,1826,0.082,0.667,0.145
labor_market_position,entrepreneurs,86,15,17,71,1825,0.469,0.174,0.254
labor_market_position,self-employed and freelancers,7,3,3,4,1918,0.5,0.429,0.462
labor_market_position,unemployed,10,6,60,4,1858,0.091,0.6,0.158
labor_market_position,retirees,7,3,0,4,1921,1.0,0.429,0.6
labor_market_position,housewives and househusbands,4,3,30,1,1894,0.091,0.75,0.162
age_and_family_status,parents and families,42,29,26,13,1860,0.527,0.69,0.598
age_and_family_status,"minors, including children and pupils",69,48,56,21,1803,0.462,0.696,0.555
age_and_family_status,"youth, including students and apprentices",66,51,27,15,1835,0.654,0.773,0.708
age_and_family_status,middle-aged and pre-retirement age groups,2,0,75,2,1851,0.0,0.0,0.0
age_and_family_status,elderly,10,1,81,9,1837,0.012,0.1,0.022
age_and_family_status,couples,6,2,51,4,1871,0.038,0.333,0.068
age_and_family_status,singles,6,2,19,4,1903,0.095,0.333,0.148
identities,men,30,23,90,7,1808,0.204,0.767,0.322
identities,women,86,63,32,23,1810,0.663,0.733,0.696
identities,cisgender and heterosexuals,6,5,57,1,1865,0.081,0.833,0.147
identities,LGBTQIA+,19,12,110,7,1799,0.098,0.632,0.17
identities,disabled people,8,4,55,4,1865,0.068,0.5,0.119
identities,"people with an immigration background, including immigrants",47,27,6,20,1875,0.818,0.574,0.675
identities,Ethnic and racial minorities,14,6,19,8,1895,0.24,0.429,0.308
identities,Christians,10,3,11,7,1907,0.214,0.3,0.25
identities,Jews,10,8,9,2,1909,0.471,0.8,0.593
identities,Muslims,13,4,98,9,1817,0.039,0.308,0.07
identities,multiple (or other) religious or minority groups,4,0,3,4,1921,0.0,0.0,0.0
profession,athletes,66,26,13,40,1849,0.667,0.394,0.495
profession,authors and artists,38,16,8,22,1882,0.667,0.421,0.516
profession,doctors,21,9,18,12,1889,0.333,0.429,0.375
profession,farmers and fishermen,16,11,52,5,1860,0.175,0.688,0.278
profession,health and care professionals,6,1,36,5,1886,0.027,0.167,0.047
profession,journalists,8,4,16,4,1904,0.2,0.5,0.286
profession,legal professionals,12,5,39,7,1877,0.114,0.417,0.179
profession,politicians and high-ranking officials,318,192,28,126,1582,0.873,0.604,0.714
profession,sex workers,4,2,0,2,1924,1.0,0.5,0.667
profession,scientists and professors,18,9,61,9,1849,0.129,0.5,0.205
profession,security forces,61,40,32,21,1835,0.556,0.656,0.602
profession,soldiers,30,23,19,7,1879,0.548,0.767,0.639
profession,teachers and educators,11,7,124,4,1793,0.053,0.636,0.099
profession,other professions,82,22,5,60,1841,0.815,0.268,0.404
social_roles_and_behavior,consumers and clients,70,49,32,21,1826,0.605,0.7,0.649
social_roles_and_behavior,car drivers,4,3,2,1,1922,0.6,0.75,0.667
social_roles_and_behavior,patients,24,18,94,6,1810,0.161,0.75,0.265
social_deviance,extremists,22,9,38,13,1868,0.191,0.409,0.261
social_deviance,"terrorists, rebels, revolutionaries and/or movements of armed resistance",38,20,11,18,1879,0.645,0.526,0.58
social_deviance,"offenders, criminals, prisoners and/or accused people",46,8,12,38,1870,0.4,0.174,0.242
social_deviance,drug addicts,3,0,1,3,1924,0.0,0.0,0.0
real_estate_ownership,real-estate owners,29,19,18,10,1881,0.514,0.655,0.576
real_estate_ownership,tenants,8,7,32,1,1888,0.179,0.875,0.298
real_estate_ownership,homeless,4,2,16,2,1908,0.111,0.5,0.182
