category,label,support,tp,fp,fn,tn,precision,recall,f1
socio_economic_position,lower class,12,2,79,10,1837,0.025,0.167,0.043
socio_economic_position,middle class,6,1,6,5,1916,0.143,0.167,0.154
socio_economic_position,upper class,8,0,24,8,1896,0.0,0.0,0.0
socio_economic_position,"capital owners, investors and shareholders",48,16,43,32,1837,0.271,0.333,0.299
socio_economic_position,unskilled or unqualified,8,2,0,6,1920,1.0,0.25,0.4
socio_economic_position,skilled or qualified,10,0,4,10,1914,0.0,0.0,0.0
labor_market_position,wage and salary earners,91,46,36,45,1801,0.561,0.505,0.532
labor_market_position,civil servants,15,6,10,9,1903,0.375,0.4,0.387
labor_market_position,CEOs and corporate leaders,49,18,63,31,1816,0.222,0.367,0.277
labor_market_position,employers,12,7,90,5,1826,0.072,0.583,0.128
labor_market_position,entrepreneurs,86,26,61,60,1781,0.299,0.302,0.301
labor_market_position,self-employed and freelancers,7,3,3,4,1918,0.5,0.429,0.462
labor_market_position,unemployed,10,3,105,7,1813,0.028,0.3,0.051
labor_market_position,retirees,7,2,0,5,1921,1.0,0.286,0.444
labor_market_position,housewives and househusbands,4,2,30,2,1894,0.062,0.5,0.111
age_and_family_status,parents and families,42,24,54,18,1832,0.308,0.571,0.4
age_and_family_status,"minors, including children and pupils",69,46,76,23,1783,0.377,0.667,0.482
age_and_family_status,"youth, including students and apprentices",66,49,82,17,1780,0.374,0.742,0.497
age_and_family_status,middle-aged and pre-retirement age groups,2,0,75,2,1851,0.0,0.0,0.0
age_and_family_status,elderly,10,1,81,9,1837,0.012,0.1,0.022
age_and_family_status,couples,6,2,51,4,1871,0.038,0.333,0.068
age_and_family_status,singles,6,1,19,5,1903,0.05,0.167,0.077
identities,men,30,23,105,7,1793,0.18,0.767,0.291
identities,women,86,62,61,24,1781,0.504,0.721,0.593
identities,cisgender and heterosexuals,6,5,57,1,1865,0.081,0.833,0.147
identities,LGBTQIA+,19,12,110,7,1799,0.098,0.632,0.17
identities,disabled people,8,3,55,5,1865,0.052,0.375,0.091
identities,"people with an immigration background, including immigrants",47,20,55,27,1826,0.267,0.426,0.328
identities,Ethnic and racial minorities,14,6,19,8,1895,0.24,0.429,0.308
identities,Christians,10,2,11,8,1907,0.154,0.2,0.174
identities,Jews,10,8,9,2,1909,0.471,0.8,0.593
identities,Muslims,13,3,98,10,1817,0.03,0.231,0.053
identities,multiple (or other) religious or minority groups,4,0,2,4,1922,0.0,0.0,0.0
profession,athletes,66,24,34,42,1828,0.414,0.364,0.387
profession,authors and artists,38,16,21,22,1869,0.432,0.421,0.427
profession,doctors,21,0,18,21,1889,0.0,0.0,0.0
profession,farmers and fishermen,16,7,94,9,1818,0.069,0.438,0.12
profession,health and care professionals,6,0,36,6,1886,0.0,0.0,0.0
profession,journalists,8,4,15,4,1905,0.211,0.5,0.296
profession,legal professionals,12,5,39,7,1877,0.114,0.417,0.179
profession,politicians and high-ranking officials,318,141,65,177,1545,0.684,0.443,0.538
profession,sex workers,4,0,0,4,1924,0.0,0.0,0.0
profession,scientists and professors,18,9,61,9,1849,0.129,0.5,0.205
profession,security forces,61,40,48,21,1819,0.455,0.656,0.537
profession,soldiers,30,16,40,14,1858,0.286,0.533,0.372
profession,teachers and educators,11,7,100,4,1817,0.065,0.636,0.119
profession,other professions,82,21,37,61,1809,0.362,0.256,0.3
social_roles_and_behavior,consumers and clients,70,36,48,34,1810,0.429,0.514,0.468
social_roles_and_behavior,car drivers,4,0,2,4,1922,0.0,0.0,0.0
social_roles_and_behavior,patients,24,14,143,10,1761,0.089,0.583,0.155
social_deviance,extremists,22,9,37,13,1869,0.196,0.409,0.265
social_deviance,"terrorists, rebels, revolutionaries and/or movements of armed resistance",38,19,34,19,1856,0.358,0.5,0.418
social_deviance,"offenders, criminals, prisoners and/or accused people",46,8,20,38,1862,0.286,0.174,0.216
social_deviance,drug addicts,3,0,1,3,1924,0.0,0.0,0.0
real_estate_ownership,real-estate owners,29,14,35,15,1864,0.286,0.483,0.359
real_estate_ownership,tenants,8,2,32,6,1888,0.059,0.25,0.095
real_estate_ownership,homeless,4,1,16,3,1908,0.059,0.25,0.095
