Label                                                         Bin.F1 med  Bin.F1 mean  Bin.F1 best   Macro F1 best   Fold
-------------------------------------------------------------------------------------------------------------------------
tenants                                                          0.88889      0.88062      1.00000         1.00000      3
homeless                                                         0.90909      0.85515      1.00000         1.00000      3
real-estate owners                                               0.85714      0.85509      0.92308         0.96101      3
-------------------------------------------------------------------------------------------------------------------------
Whole-class pooled metrics at fold 3 (from fold_3_metrics.json): f1_binary=0.95652, f1_macro=0.97809
-------------------------------------------------------------------------------------------------------------------------
Count of individual categories with binary F1 > threshold (out of 3 total):
 Threshold  Median>thr  Mean>thr  Best>thr
------------------------------------------
      0.90           1         0         3
      0.85           3         3         3
      0.80           3         3         3
      0.75           3         3         3
      0.70           3         3         3
      0.65           3         3         3
      0.60           3         3         3
      0.55           3         3         3
      0.50           3         3         3
