Label                                                         Bin.F1 med  Bin.F1 mean  Bin.F1 best   Macro F1 best   Fold
-------------------------------------------------------------------------------------------------------------------------
drug addicts                                                     0.88889      0.87111      0.88889         0.94427      3
terrorists, revolutionaries, rebels, armed resistance            0.66667      0.61296      0.66667         0.83176      3
extremists                                                       0.63158      0.60891      0.63158         0.81457      3
offenders, criminals, prisoners, accused people                  0.57534      0.61300      0.70423         0.84839      3
-------------------------------------------------------------------------------------------------------------------------
Whole-class pooled metrics at fold 3 (from fold_3_metrics.json): f1_binary=0.69841, f1_macro=0.84755
-------------------------------------------------------------------------------------------------------------------------
Count of individual categories with binary F1 > threshold (out of 4 total):
 Threshold  Median>thr  Mean>thr  Best>thr
------------------------------------------
      0.90           0         0         0
      0.85           1         1         1
      0.80           1         1         1
      0.75           1         1         1
      0.70           1         1         2
      0.65           2         1         3
      0.60           3         4         4
      0.55           4         4         4
      0.50           4         4         4
