Label                                                         Bin.F1 med  Bin.F1 mean  Bin.F1 best   Macro F1 best   Fold
-------------------------------------------------------------------------------------------------------------------------
patients                                                         0.84848      0.81088      0.89474         0.94667      1
consumers and clients                                            0.82270      0.81615      0.85039         0.92176      1
car drivers                                                      0.60000      0.54429      0.75000         0.87465      1
-------------------------------------------------------------------------------------------------------------------------
Whole-class pooled metrics at fold 1 (from fold_1_metrics.json): f1_binary=0.85549, f1_macro=0.92628
-------------------------------------------------------------------------------------------------------------------------
Count of individual categories with binary F1 > threshold (out of 3 total):
 Threshold  Median>thr  Mean>thr  Best>thr
------------------------------------------
      0.90           0         0         0
      0.85           0         0         2
      0.80           2         2         2
      0.75           2         2         2
      0.70           2         2         3
      0.65           2         2         3
      0.60           2         2         3
      0.55           3         2         3
      0.50           3         3         3
