broad_class,fold,sentence_id,label,country,mentions,mention_statuses,status,prob_entail,soccat_hit,dict_hit,llm_hit
age_and_family_status,2,2,"minors, including children and pupils",Germany,Kinder,seen,seen,0.9922569,1,1,1
age_and_family_status,2,32,parents and families,Germany,die Angehörigen,seen,seen,0.97903043,1,0,0
age_and_family_status,2,65,"youth, including students and apprentices",Germany,Studenten,seen,seen,0.9766484,1,1,1
age_and_family_status,2,114,"minors, including children and pupils",Germany,ihre Kinder,seen,seen,0.99102217,1,1,1
age_and_family_status,2,183,parents and families,Germany,Familie,seen,seen,0.96491045,1,0,0
age_and_family_status,2,305,"youth, including students and apprentices",Germany,Student über 25 Jahre,seen,seen,0.990991,1,0,1
age_and_family_status,2,345,parents and families,Germany,Ihre Familie,seen,seen,0.96283793,1,0,1
age_and_family_status,2,463,"youth, including students and apprentices",Germany,die Mädels,unseen,unseen,7.592597e-05,0,0,0
age_and_family_status,2,464,"youth, including students and apprentices",Germany,Junge Männer,seen,seen,0.9529581,1,1,1
age_and_family_status,2,530,"minors, including children and pupils",Germany,ihren eigenen Kindern,seen,seen,0.975172,1,1,1
age_and_family_status,2,619,parents and families,Germany,Familienväter,partial,partial,0.9802005,1,0,1
age_and_family_status,2,682,parents and families,Germany,der Eltern,seen,seen,0.98128855,1,1,1
age_and_family_status,2,682,"minors, including children and pupils",Germany,die Flüchtlingskinder,partial,partial,0.9488296,1,0,1
age_and_family_status,2,699,"minors, including children and pupils",Germany,Die Kinder,seen,seen,0.9919424,1,1,1
age_and_family_status,2,805,"youth, including students and apprentices",Germany,"die Jungs, die schutzlos in den Krieg ziehen mussten",partial,partial,0.94481564,1,0,0
age_and_family_status,2,809,"minors, including children and pupils",Germany,der Kinder,seen,seen,0.99253815,1,1,1
age_and_family_status,2,1036,"youth, including students and apprentices",Germany,junger Erwachsener,seen,seen,0.9896191,1,0,1
age_and_family_status,2,1056,"minors, including children and pupils",Germany,Kindern,seen,seen,0.98431766,1,1,1
age_and_family_status,2,1056,"youth, including students and apprentices",Germany,Jugendlichen,seen,seen,0.98919666,1,1,1
age_and_family_status,2,1061,"youth, including students and apprentices",Germany,Noch jüngere Patienten,partial,partial,0.8487151,1,0,0
age_and_family_status,2,1086,"minors, including children and pupils",Germany,der Schüler,seen,seen,0.9877815,1,1,1
age_and_family_status,2,1098,"youth, including students and apprentices",Germany,die Jugendlichen,seen,seen,0.9921699,1,1,1
age_and_family_status,2,1181,parents and families,Germany,Eltern,seen,seen,0.99246514,1,0,1
age_and_family_status,2,1505,parents and families,Germany,Familien,seen,seen,0.0026533522,0,0,1
age_and_family_status,2,1505,"minors, including children and pupils",Germany,Kind,seen,seen,0.6300644,1,0,0
age_and_family_status,2,1725,"minors, including children and pupils",Germany,Schüler,seen,seen,0.9903351,1,1,1
age_and_family_status,2,1726,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.9885478,1,0,1
age_and_family_status,2,1821,parents and families,Germany,Oma,unseen,unseen,7.719504e-05,0,0,0
age_and_family_status,2,1821,elderly,Germany,Oma,unseen,unseen,1.8725264e-05,0,0,1
age_and_family_status,2,1920,"minors, including children and pupils",Germany,den Mädchen,seen,seen,0.9925241,1,1,1
age_and_family_status,2,1922,"minors, including children and pupils",Germany,vieler Kinder,partial,partial,0.9852653,1,1,1
age_and_family_status,2,1922,"youth, including students and apprentices",Germany,Jugendlichen,seen,seen,0.9896298,1,1,1
age_and_family_status,2,1969,"minors, including children and pupils",Germany,105 Jungen | 100 Mädchen,seen | seen,seen,0.99186456,1,1,1
age_and_family_status,2,1983,"youth, including students and apprentices",Germany,die Kinder aus kaufkräftigen Familien,partial,partial,0.9653837,1,0,0
age_and_family_status,2,2291,parents and families,Germany,Eltern von 477 Kindern im Alter von unter zehn Jahren in Baierbrunn,partial,partial,0.9861136,1,1,1
age_and_family_status,2,2427,"minors, including children and pupils",Germany,die Kinder,seen,seen,0.9915064,1,1,1
age_and_family_status,2,2507,"youth, including students and apprentices",Germany,"""Jugendliche"" | Jugend",seen | seen,seen,0.9883952,1,1,1
age_and_family_status,2,2508,"minors, including children and pupils",Germany,"118,5 Jungen | 100 Mädchen",seen | seen,seen,0.99181765,1,1,1
age_and_family_status,2,2521,"minors, including children and pupils",Germany,Kinder,seen,seen,0.8342154,1,0,0
age_and_family_status,2,2531,parents and families,Germany,Familie | die Angehörigen,seen | seen,seen,0.98382425,1,0,1
age_and_family_status,2,2539,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.9881258,1,0,1
age_and_family_status,2,2558,parents and families,Germany,die Mutter,seen,seen,0.0008489131,0,0,0
age_and_family_status,2,2570,"youth, including students and apprentices",Germany,Jeder zweite junge Franzose,partial,partial,0.9554676,1,1,1
age_and_family_status,2,2626,"youth, including students and apprentices",Germany,junger engagierter Menschen mit Migrationshintergrund,partial,partial,0.9892552,1,0,1
age_and_family_status,2,2742,singles,Germany,Singles,seen,seen,0.9802751,1,0,1
age_and_family_status,2,2902,"minors, including children and pupils",France,élèves en rupture avec le système scolaire,partial,partial,0.9925236,1,1,1
age_and_family_status,2,2955,"youth, including students and apprentices",France,de jeunes,seen,seen,0.24909857,0,1,1
age_and_family_status,2,2967,"minors, including children and pupils",France,les 4-14 ans,seen,seen,0.9914772,1,1,1
age_and_family_status,2,2998,parents and families,France,les parents,seen,seen,0.99205023,1,1,1
age_and_family_status,2,3005,"minors, including children and pupils",France,les gamins de la cité,unseen,unseen,0.99199414,1,0,1
age_and_family_status,2,3068,"minors, including children and pupils",France,les élèves de l'école de musique de Chambly,partial,partial,0.989963,1,1,0
age_and_family_status,2,3083,"minors, including children and pupils",France,les filles,seen,seen,0.9835105,1,1,0
age_and_family_status,2,3149,"minors, including children and pupils",France,enfants,seen,seen,0.99255705,1,1,1
age_and_family_status,2,3149,"youth, including students and apprentices",France,adolescents,seen,seen,0.0011190968,0,0,1
age_and_family_status,2,3201,"youth, including students and apprentices",France,les jeunes,seen,seen,0.98780894,1,1,1
age_and_family_status,2,3201,elderly,France,les vieux,seen,seen,0.17176005,0,0,1
age_and_family_status,2,3215,"youth, including students and apprentices",France,aux jeunes chefs d'entreprises,partial,partial,0.97584414,1,1,1
age_and_family_status,2,3231,"minors, including children and pupils",France,tous les enfants,seen,seen,0.99037373,1,1,1
age_and_family_status,2,3233,parents and families,France,leurs parents,seen,seen,0.97196925,1,1,1
age_and_family_status,2,3233,"youth, including students and apprentices",France,Les jeunes,seen,seen,0.989316,1,1,1
age_and_family_status,2,3307,"minors, including children and pupils",France,les enfants,seen,seen,0.99249226,1,1,1
age_and_family_status,2,3392,parents and families,France,les parents d'élèves,seen,seen,0.00058662,0,1,1
age_and_family_status,2,3392,elderly,France,des vieux travailleurs,partial,partial,0.045125324,0,0,1
age_and_family_status,2,3441,"minors, including children and pupils",France,d'enfants,seen,seen,0.99147296,1,1,1
age_and_family_status,2,3465,"youth, including students and apprentices",France,des jeunes du club,partial,partial,0.98556304,1,1,1
age_and_family_status,2,3486,parents and families,France,ces familles qui sont obligées de faire appel à des assistantes maternelles agréées,partial,partial,0.9901134,1,1,1
age_and_family_status,2,3486,"minors, including children and pupils",France,d'enfants,seen,seen,0.9035939,1,1,0
age_and_family_status,2,3530,"minors, including children and pupils",France,du mouvement lycéen,partial,partial,0.7686562,1,0,0
age_and_family_status,2,3530,"youth, including students and apprentices",France,des plus jeunes manifestants,partial,partial,0.008687436,0,1,1
age_and_family_status,2,3643,"youth, including students and apprentices",France,des meilleurs étudiants de cette université,partial,partial,0.98349553,1,1,1
age_and_family_status,2,3673,"minors, including children and pupils",France,aux élèves de terminales,partial,partial,0.9752501,1,1,0
age_and_family_status,2,3933,parents and families,France,toutes les familles,seen,seen,0.9913346,1,1,1
age_and_family_status,2,4057,"minors, including children and pupils",France,les élèves,seen,seen,0.9919516,1,1,1
age_and_family_status,2,4089,"minors, including children and pupils",France,aux jeunes à partir de 14 ans,partial,partial,0.709981,1,1,0
age_and_family_status,2,4127,"minors, including children and pupils",France,Les classes de ville,partial,partial,5.218185e-05,0,0,0
age_and_family_status,2,4217,parents and families,France,un public familial,partial,partial,0.24158782,0,0,1
age_and_family_status,2,4217,"minors, including children and pupils",France,un public enfantin,partial,partial,0.83615935,1,1,1
age_and_family_status,2,4238,parents and families,France,Une famille moyenne,partial,partial,0.99188143,1,1,1
age_and_family_status,2,4294,parents and families,France,des familles « lourdes » d'immigrés qui posent des problèmes sociaux,partial,partial,0.93559057,1,1,1
age_and_family_status,2,4296,elderly,France,public plus âgé,partial,partial,0.6804239,1,0,0
age_and_family_status,2,4313,"minors, including children and pupils",France,les moins de 12 ans,seen,seen,0.9926172,1,1,1
age_and_family_status,2,4335,parents and families,France,des parents,seen,seen,0.9919938,1,1,1
age_and_family_status,2,4335,"minors, including children and pupils",France,L'adolescent,seen,seen,0.0016209225,0,0,0
age_and_family_status,2,4347,"youth, including students and apprentices",France,d'emplois jeunes,seen,seen,0.9871525,1,1,1
age_and_family_status,2,4372,"minors, including children and pupils",France,les jeunes | les 7/12 ans | les 8/10 ans | les 10/12 ans | les 10/12 ans,partial | seen | seen | seen | seen,seen,0.9901664,1,1,1
age_and_family_status,2,4375,"minors, including children and pupils",France,aux 8-12 ans | les enfants,seen | seen,seen,0.9924654,1,1,1
