broad_class,fold,sentence_id,label,country,mentions,mention_statuses,status,prob_entail,soccat_hit,dict_hit,llm_hit,test_mention,nearest_train_mention,proximity,bin
age_and_family_status,2,2,"minors, including children and pupils",Germany,Kinder,seen,seen,0.9922569,1,1,1,Kinder,Kinder,1.0000001,seen
age_and_family_status,2,32,parents and families,Germany,die Angehörigen,seen,seen,0.97903043,1,0,0,die Angehörigen,Angehörige,0.9718684,seen
age_and_family_status,2,65,"youth, including students and apprentices",Germany,Studenten,seen,seen,0.9766484,1,1,1,Studenten,Studenten,1.0,seen
age_and_family_status,2,114,"minors, including children and pupils",Germany,ihre Kinder,seen,seen,0.99102217,1,1,1,ihre Kinder,ihre Kinder,0.99999994,seen
age_and_family_status,2,183,parents and families,Germany,Familie,seen,seen,0.96491045,1,0,0,Familie,famille,0.9938874,seen
age_and_family_status,2,305,"youth, including students and apprentices",Germany,Student über 25 Jahre,seen,seen,0.990991,1,0,1,Student über 25 Jahre,junge Akademiker,0.82995915,seen
age_and_family_status,2,345,parents and families,Germany,Ihre Familie,seen,seen,0.96283793,1,0,1,Ihre Familie,ihre Familie,0.96732706,seen
age_and_family_status,2,463,"youth, including students and apprentices",Germany,die Mädels,unseen,unseen,7.592597e-05,0,0,0,die Mädels,de jeunes et jolies filles,0.83480406,Q3
age_and_family_status,2,464,"youth, including students and apprentices",Germany,Junge Männer,seen,seen,0.9529581,1,1,1,Junge Männer,jungen Männern,0.98944545,seen
age_and_family_status,2,530,"minors, including children and pupils",Germany,ihren eigenen Kindern,seen,seen,0.975172,1,1,1,ihren eigenen Kindern,leurs enfants,0.94571596,seen
age_and_family_status,2,619,parents and families,Germany,Familienväter,partial,partial,0.9802005,1,0,1,Familienväter,bons pères de famille,0.8958132,Q4
age_and_family_status,2,682,parents and families,Germany,der Eltern,seen,seen,0.98128855,1,1,1,der Eltern,der Eltern,0.9999999,seen
age_and_family_status,2,682,"minors, including children and pupils",Germany,die Flüchtlingskinder,partial,partial,0.9488296,1,0,1,die Flüchtlingskinder,jungen Flüchtlingen,0.9140426,Q5
age_and_family_status,2,699,"minors, including children and pupils",Germany,Die Kinder,seen,seen,0.9919424,1,1,1,Die Kinder,die Kinder,0.9938125,seen
age_and_family_status,2,805,"youth, including students and apprentices",Germany,"die Jungs, die schutzlos in den Krieg ziehen mussten",partial,partial,0.94481564,1,0,0,"die Jungs, die schutzlos in den Krieg ziehen mussten","Die Jungs, die reingekommen sind",0.66906106,Q1
age_and_family_status,2,809,"minors, including children and pupils",Germany,der Kinder,seen,seen,0.99253815,1,1,1,der Kinder,der Kinder,0.9999999,seen
age_and_family_status,2,1036,"youth, including students and apprentices",Germany,junger Erwachsener,seen,seen,0.9896191,1,0,1,junger Erwachsener,junge Erwachsene,0.996649,seen
age_and_family_status,2,1056,"minors, including children and pupils",Germany,Kindern,seen,seen,0.98431766,1,1,1,Kindern,Kindern,1.0000001,seen
age_and_family_status,2,1056,"youth, including students and apprentices",Germany,Jugendlichen,seen,seen,0.98919666,1,1,1,Jugendlichen,Jugendlichen,0.9999998,seen
age_and_family_status,2,1061,"youth, including students and apprentices",Germany,Noch jüngere Patienten,partial,partial,0.8487151,1,0,0,Noch jüngere Patienten,jugendlicher und heranwachsender Intensivtäter,0.7633562,Q2
age_and_family_status,2,1086,"minors, including children and pupils",Germany,der Schüler,seen,seen,0.9877815,1,1,1,der Schüler,der Schüler,0.99999994,seen
age_and_family_status,2,1098,"youth, including students and apprentices",Germany,die Jugendlichen,seen,seen,0.9921699,1,1,1,die Jugendlichen,die Jugendlichen,1.0000002,seen
age_and_family_status,2,1181,parents and families,Germany,Eltern,seen,seen,0.99246514,1,0,1,Eltern,Eltern,1.0,seen
age_and_family_status,2,1505,parents and families,Germany,Familien,seen,seen,0.0026533522,0,0,1,Familien,Familien,1.0000001,seen
age_and_family_status,2,1505,"minors, including children and pupils",Germany,Kind,seen,seen,0.6300644,1,0,0,Kind,Kind,1.0,seen
age_and_family_status,2,1725,"minors, including children and pupils",Germany,Schüler,seen,seen,0.9903351,1,1,1,Schüler,Schülerinnen,0.99309576,seen
age_and_family_status,2,1726,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.9885478,1,0,1,Jugend,Jugend,1.0,seen
age_and_family_status,2,1821,parents and families,Germany,Oma,unseen,unseen,7.719504e-05,0,0,0,Oma,vom Opa,0.8388738,Q3
age_and_family_status,2,1821,elderly,Germany,Oma,unseen,unseen,1.8725264e-05,0,0,1,Oma,alten,0.6207946,Q1
age_and_family_status,2,1920,"minors, including children and pupils",Germany,den Mädchen,seen,seen,0.9925241,1,1,1,den Mädchen,diesen Mädchen,0.9340688,seen
age_and_family_status,2,1922,"minors, including children and pupils",Germany,vieler Kinder,partial,partial,0.9852653,1,1,1,vieler Kinder,vielen Kindern,0.98627484,Q5
age_and_family_status,2,1922,"youth, including students and apprentices",Germany,Jugendlichen,seen,seen,0.9896298,1,1,1,Jugendlichen,Jugendlichen,0.9999998,seen
age_and_family_status,2,1969,"minors, including children and pupils",Germany,105 Jungen | 100 Mädchen,seen | seen,seen,0.99186456,1,1,1,100 Mädchen,800 garçons et filles,0.74236417,seen
age_and_family_status,2,1983,"youth, including students and apprentices",Germany,die Kinder aus kaufkräftigen Familien,partial,partial,0.9653837,1,0,0,die Kinder aus kaufkräftigen Familien,de jeunes millionnaires,0.6964508,Q2
age_and_family_status,2,2291,parents and families,Germany,Eltern von 477 Kindern im Alter von unter zehn Jahren in Baierbrunn,partial,partial,0.9861136,1,1,1,Eltern von 477 Kindern im Alter von unter zehn Jahren in Baierbrunn,Einige Eltern der Kinder,0.68995017,Q1
age_and_family_status,2,2427,"minors, including children and pupils",Germany,die Kinder,seen,seen,0.9915064,1,1,1,die Kinder,die Kinder,1.0,seen
age_and_family_status,2,2507,"youth, including students and apprentices",Germany,"""Jugendliche"" | Jugend",seen | seen,seen,0.9883952,1,1,1,Jugend,Jugend,1.0,seen
age_and_family_status,2,2508,"minors, including children and pupils",Germany,"118,5 Jungen | 100 Mädchen",seen | seen,seen,0.99181765,1,1,1,100 Mädchen,800 garçons et filles,0.74236417,seen
age_and_family_status,2,2521,"minors, including children and pupils",Germany,Kinder,seen,seen,0.8342154,1,0,0,Kinder,Kinder,1.0000001,seen
age_and_family_status,2,2531,parents and families,Germany,Familie | die Angehörigen,seen | seen,seen,0.98382425,1,0,1,Familie,famille,0.9938874,seen
age_and_family_status,2,2539,"youth, including students and apprentices",Germany,Jugend,seen,seen,0.9881258,1,0,1,Jugend,Jugend,1.0,seen
age_and_family_status,2,2558,parents and families,Germany,die Mutter,seen,seen,0.0008489131,0,0,0,die Mutter,la mère,0.9947259,seen
