bin,model,n,hits,recall,ci_low,ci_high,prox_min,prox_max,prox_median,share_unseen
Q1,SOCCAT,125,55,0.44,0.3560569897020464,0.5275209851135412,0.4766851,0.69221014,0.6364179,0.392
Q1,LLM,125,74,0.592,0.5043494517691636,0.674164320180269,0.4766851,0.69221014,0.6364179,0.392
Q1,Dictionary,125,30,0.24,0.17359960150069903,0.3219049560335135,0.4766851,0.69221014,0.6364179,0.392
Q2,SOCCAT,125,83,0.664,0.5774028071114738,0.7408173950592536,0.69432914,0.7886323,0.7479949,0.192
Q2,LLM,125,93,0.744,0.6610155355210199,0.8124340335622575,0.69432914,0.7886323,0.7479949,0.192
Q2,Dictionary,125,44,0.352,0.2738265919114759,0.4389990793003066,0.69432914,0.7886323,0.7479949,0.192
Q3,SOCCAT,125,80,0.64,0.5528369229559256,0.718814469141037,0.7894522,0.8455628,0.820159,0.152
Q3,LLM,125,89,0.712,0.6272314795312537,0.7841263427870038,0.7894522,0.8455628,0.820159,0.152
Q3,Dictionary,125,44,0.352,0.2738265919114759,0.4389990793003066,0.7894522,0.8455628,0.820159,0.152
Q4,SOCCAT,125,92,0.736,0.6525239824707842,0.8054026499212381,0.8455831,0.9018362,0.8733271,0.128
Q4,LLM,125,91,0.728,0.6440633335940313,0.798340362106736,0.8455831,0.9018362,0.8733271,0.128
Q4,Dictionary,125,58,0.464,0.3789535675350041,0.5511932173543485,0.8455831,0.9018362,0.8733271,0.128
Q5,SOCCAT,125,92,0.736,0.6525239824707842,0.8054026499212381,0.9024097,0.99233913,0.93683743,0.144
Q5,LLM,125,104,0.832,0.7567892488253721,0.8874126238617103,0.9024097,0.99233913,0.93683743,0.144
Q5,Dictionary,125,43,0.344,0.2664921552148129,0.4308105793057146,0.9024097,0.99233913,0.93683743,0.144
seen,SOCCAT,859,769,0.8952270081490105,0.8729563952669418,0.9139783097820496,0.632761,1.0000005,0.9999999,0.0
seen,LLM,859,706,0.8218859138533178,0.7948829156095103,0.8460226689149262,0.632761,1.0000005,0.9999999,0.0
seen,Dictionary,859,582,0.6775320139697323,0.6455427742368587,0.7079404143344852,0.632761,1.0000005,0.9999999,0.0
