broad_class,status,model,n,hits,recall,ci_low,ci_high
age_and_family_status,all,SOCCAT,193,161,0.8341968911917098,0.7753117410431022,0.8800375347197446
age_and_family_status,all,LLM,193,152,0.7875647668393783,0.7245358412985078,0.8393693494741744
age_and_family_status,all,Dictionary,193,123,0.6373056994818653,0.5674077532244536,0.7018442748021424
age_and_family_status,seen,SOCCAT,124,112,0.9032258064516129,0.8384456460293676,0.9437723487391584
age_and_family_status,seen,LLM,124,101,0.8145161290322581,0.7370266592737948,0.8731033766456555
age_and_family_status,seen,Dictionary,124,88,0.7096774193548387,0.6244400084404406,0.782313348839193
age_and_family_status,partial,SOCCAT,58,48,0.8275862068965517,0.7109149994332449,0.9035581060491489
age_and_family_status,partial,LLM,58,45,0.7758620689655172,0.6533863695244156,0.8640646666712842
age_and_family_status,partial,Dictionary,58,35,0.603448275862069,0.4749298280744989,0.7191143104988886
age_and_family_status,unseen,SOCCAT,11,1,0.09090909090909091,0.01623175226282597,0.3773646254862038
age_and_family_status,unseen,LLM,11,6,0.5454545454545454,0.28008775568998817,0.7872904245601196
age_and_family_status,unseen,Dictionary,11,0,0.0,2.7755575615628914e-17,0.2588400172488141
identities,all,SOCCAT,192,139,0.7239583333333334,0.6568006879661141,0.7823297112953298
identities,all,LLM,192,157,0.8177083333333334,0.7570445489899875,0.8659078778692701
identities,all,Dictionary,192,105,0.546875,0.47622956171841735,0.6156814520804894
identities,seen,SOCCAT,110,92,0.8363636363636363,0.7561132241492788,0.8939127768907628
identities,seen,LLM,110,93,0.8454545454545455,0.7663799761205109,0.9012142952179102
identities,seen,Dictionary,110,81,0.7363636363636363,0.6470570975969133,0.8097179301609537
identities,partial,SOCCAT,62,43,0.6935483870967742,0.5703254906920545,0.7941856998014938
identities,partial,LLM,62,50,0.8064516129032258,0.6914796824829172,0.885663035798534
identities,partial,Dictionary,62,23,0.3709677419354839,0.26156988879274196,0.49542265087822607
identities,unseen,SOCCAT,19,4,0.21052631578947367,0.08507538491591576,0.43334714240266087
identities,unseen,LLM,19,14,0.7368421052631579,0.5120803155892935,0.8819376166045982
